"","gene1","gene2","correlation","pvalue","status"
"15833","PRNP","LINC00840",-0.00229350138944722,0.877490028955641,"Non-significant"
"15834","PRNP","KRT6A",-0.00229533775937624,0.87739271236737,"Non-significant"
"15835","PRNP","LOC100130238",-0.00230298625216887,0.876987408080865,"Non-significant"
"15836","PRNP","TSPO2",-0.00231310178027408,0.876451421688973,"Non-significant"
"15837","PRNP","SUPT3H",-0.00232654099153881,0.875739412615056,"Non-significant"
"15838","PRNP","SNORD89",-0.00233160078956187,0.875471370662394,"Non-significant"
"15839","PRNP","BTBD2",-0.00233189398542362,0.875455839098159,"Non-significant"
"15840","PRNP","KIAA0895",-0.00233268270392639,0.875414058282341,"Non-significant"
"15841","PRNP","SPAG11B",-0.0023398116261427,0.875036433372429,"Non-significant"
"15842","PRNP","DBC1",-0.00234188381207268,0.874926673300727,"Non-significant"
"15843","PRNP","TMCC2",-0.00234413767199844,0.874807293005644,"Non-significant"
"15844","PRNP","KIF20A",-0.00234841960273722,0.874580499645264,"Non-significant"
"15845","PRNP","ATP6V1E2",-0.0023549893800982,0.874232550037763,"Non-significant"
"15846","PRNP","CCL17",-0.00236162440198563,0.873881169613382,"Non-significant"
"15847","PRNP","OACYLP",-0.00236706224044332,0.873593208694948,"Non-significant"
"15848","PRNP","OPN1MW",-0.00236972448925131,0.873452235320808,"Non-significant"
"15849","PRNP","MIR4434",-0.00237047971137284,0.873412244969784,"Non-significant"
"15850","PRNP","OR56A5",-0.002370795791809,0.873395508045962,"Non-significant"
"15851","PRNP","PCDHB5",-0.00237132569804164,0.87336744885891,"Non-significant"
"15852","PRNP","TAF1L",-0.00237278983074521,0.873289922058555,"Non-significant"
"15853","PRNP","PCBP3",-0.00237443843933305,0.873202628593324,"Non-significant"
"15854","PRNP","SPINK5",-0.00237542962174026,0.87315014644373,"Non-significant"
"15855","PRNP","CELF2-AS2",-0.00237979637161997,0.87291893790982,"Non-significant"
"15856","PRNP","RXFP2",-0.00238221172626656,0.872791055554384,"Non-significant"
"15857","PRNP","IGFBP6",-0.0023892269995699,0.872419646685785,"Non-significant"
"15858","PRNP","FGF6",-0.00239163442664527,0.872292197004981,"Non-significant"
"15859","PRNP","LOC285762",-0.00239484264264186,0.872122358546456,"Non-significant"
"15860","PRNP","MSR1",-0.00239556913532997,0.872083899859756,"Non-significant"
"15861","PRNP","CXorf57",-0.00239563955178199,0.872080172206831,"Non-significant"
"15862","PRNP","CCL14",-0.00240111931053701,0.871790097594317,"Non-significant"
"15863","PRNP","TMEM41A",-0.00240852813389309,0.871397934098027,"Non-significant"
"15864","PRNP","DCAF7",-0.00241589668006449,0.871007933895874,"Non-significant"
"15865","PRNP","RGS9",-0.00242165867309821,0.870702986695394,"Non-significant"
"15866","PRNP","SFI1",-0.00242561810662759,0.87049344912798,"Non-significant"
"15867","PRNP","MIR3973",-0.0024284188325796,0.870345237124033,"Non-significant"
"15868","PRNP","BZW2",-0.00242965898371501,0.870279610848444,"Non-significant"
"15869","PRNP","SLC35G1",-0.00243058047295057,0.870230848090695,"Non-significant"
"15870","PRNP","KRTAP4-6",-0.00243096599133438,0.870210447630229,"Non-significant"
"15871","PRNP","SNORA47",-0.00243416140118031,0.87004135958374,"Non-significant"
"15872","PRNP","C9orf85",-0.00243743703182432,0.869868032744981,"Non-significant"
"15873","PRNP","TTR",-0.00243934808663806,0.869766914007294,"Non-significant"
"15874","PRNP","LOC100131067",-0.00245224558129584,0.86908453072976,"Non-significant"
"15875","PRNP","S100A7A",-0.00245471532549556,0.868953872102749,"Non-significant"
"15876","PRNP","TMEM241",-0.00246991586711648,0.868149785974336,"Non-significant"
"15877","PRNP","ARHGAP44",-0.0024719380814321,0.868042824089811,"Non-significant"
"15878","PRNP","BTNL3",-0.00247946983541484,0.867644464923762,"Non-significant"
"15879","PRNP","RPL31",-0.00248355217102866,0.867428561679591,"Non-significant"
"15880","PRNP","C7orf45",-0.00248605268450901,0.867296321438127,"Non-significant"
"15881","PRNP","ABL1",-0.00248787538704349,0.867199929726502,"Non-significant"
"15882","PRNP","DSG4",-0.0024895585561198,0.867110918848484,"Non-significant"
"15883","PRNP","BPESC1",-0.00249167281338538,0.866999113159632,"Non-significant"
"15884","PRNP","SSPO",-0.00249327560920943,0.866914356234937,"Non-significant"
"15885","PRNP","LOC201651",-0.00250123052903008,0.866493717360725,"Non-significant"
"15886","PRNP","STON1",-0.00250224635519216,0.86644000539954,"Non-significant"
"15887","PRNP","MARCH11",-0.00251203349366787,0.865922540602407,"Non-significant"
"15888","PRNP","CD1B",-0.00251340603449783,0.865849976322576,"Non-significant"
"15889","PRNP","SAA2-SAA4",-0.002521237869544,0.865435939999764,"Non-significant"
"15890","PRNP","ADAMTS6",-0.00252135945610543,0.86542951251815,"Non-significant"
"15891","PRNP","CD300LF",-0.00252975614223864,0.864985656511532,"Non-significant"
"15892","PRNP","CPA5",-0.00253163280326841,0.864886460421697,"Non-significant"
"15893","PRNP","SLC12A5",-0.00253436949767284,0.864741808713283,"Non-significant"
"15894","PRNP","BYSL",-0.00253565187109523,0.864674028678893,"Non-significant"
"15895","PRNP","NPR2",-0.00253762292894339,0.864569850069466,"Non-significant"
"15896","PRNP","CCNA2",-0.00253827926245319,0.864535160634438,"Non-significant"
"15897","PRNP","BAGE5",-0.00254593386281391,0.864130608530553,"Non-significant"
"15898","PRNP","MIPOL1",-0.00255231254826677,0.863793516799913,"Non-significant"
"15899","PRNP","KCNMB2",-0.00255294948781508,0.863759858081074,"Non-significant"
"15900","PRNP","SPRR2A",-0.00256443304331703,0.863153058387558,"Non-significant"
"15901","PRNP","PPP1R12B",-0.00256445784268899,0.86315174805732,"Non-significant"
"15902","PRNP","LOC93432",-0.0025660127717125,0.863069590659173,"Non-significant"
"15903","PRNP","TEX19",-0.00256713425334152,0.86301033613206,"Non-significant"
"15904","PRNP","FAM83G",-0.00256840353271016,0.862943273503025,"Non-significant"
"15905","PRNP","GFRA2",-0.00257282608454945,0.862709614809276,"Non-significant"
"15906","PRNP","IL36A",-0.00257849752783298,0.862409990439129,"Non-significant"
"15907","PRNP","HORMAD2",-0.00258571345752752,0.862028798910441,"Non-significant"
"15908","PRNP","TOM1L1",-0.00258649330450741,0.861987604329985,"Non-significant"
"15909","PRNP","LOC100128573",-0.00258709677118146,0.86195572710758,"Non-significant"
"15910","PRNP","LOC442459",-0.00258855333465629,0.861878787251549,"Non-significant"
"15911","PRNP","SMIM6",-0.00259010398454562,0.861796878921275,"Non-significant"
"15912","PRNP","ZP1",-0.00259050213989009,0.861775847824548,"Non-significant"
"15913","PRNP","SNORD116-28",-0.00259166270642795,0.861714545709954,"Non-significant"
"15914","PRNP","C2orf15",-0.00259698405166139,0.86143347838253,"Non-significant"
"15915","PRNP","DDX31",-0.00259945426065722,0.861303010746969,"Non-significant"
"15916","PRNP","ADCY10P1",-0.00260050663306574,0.861247429335926,"Non-significant"
"15917","PRNP","HDAC9",-0.00260263233021877,0.86113516200439,"Non-significant"
"15918","PRNP","SCN4A",-0.00260817473406977,0.860842456696796,"Non-significant"
"15919","PRNP","SFRP1",-0.00260945158042642,0.860775026622333,"Non-significant"
"15920","PRNP","TTC9",-0.00261740817017247,0.860354863128672,"Non-significant"
"15921","PRNP","LPHN3",-0.00262179652184023,0.860123144419241,"Non-significant"
"15922","PRNP","C6orf201",-0.00262496830354242,0.859955671907962,"Non-significant"
"15923","PRNP","SLAIN2",-0.00262527551066271,0.859939451470292,"Non-significant"
"15924","PRNP","THPO",-0.0026351210657281,0.859419640635829,"Non-significant"
"15925","PRNP","TRIM21",-0.00264398118700858,0.85895190931048,"Non-significant"
"15926","PRNP","MYL3",-0.00264848885623446,0.858713965622358,"Non-significant"
"15927","PRNP","CRLF1",-0.00264999143955359,0.858634652488897,"Non-significant"
"15928","PRNP","BDNF-AS",-0.00265609834145688,0.85831231731249,"Non-significant"
