"","gene1","gene2","correlation","pvalue"
"1","PRNP","A1BG",0.0537266501534507,0.000301853112736143
"2","PRNP","A1BG-AS1",0.0445445913652973,0.00274055082330669
"3","PRNP","A1CF",-0.0115999439591818,0.435575882512991
"4","PRNP","A2M",0.0858983086480723,7.28928882974820e-09
"5","PRNP","A2M-AS1",0.020675228608696,0.164595921312571
"6","PRNP","A2ML1",0.00200509980582593,0.892795618865123
"7","PRNP","A2MP1",-0.0133657763652561,0.368980134362452
"8","PRNP","A4GALT",0.0254934756195685,0.0865737457266886
"9","PRNP","A4GNT",0.0130530601808088,0.380288836887439
"10","PRNP","AA06",NA,NA
"11","PRNP","AAAS",0.0637114148534446,1.8147010482492e-05
"12","PRNP","AACS",0.0627317103118482,2.43758093793023e-05
"13","PRNP","AACSP1",-0.00861792314828303,0.562426148279945
"14","PRNP","AADAC",-4.9668226516113e-06,0.999733640746874
"15","PRNP","AADACL2",-0.00435611712706707,0.769685531876359
"16","PRNP","AADACL3",0.00295314825009065,0.842662906992072
"17","PRNP","AADACL4",-0.0013745514557986,0.926390665044084
"18","PRNP","AADAT",-0.0177548068929973,0.232698521028894
"19","PRNP","AAED1",0.0527475496634856,0.000388527133671547
"20","PRNP","AAGAB",0.062135885812087,2.91075499194947e-05
"21","PRNP","AAK1",0.022840188639467,0.124699589582656
"22","PRNP","AAMDC",0.0485601400236967,0.0010916774830999
"23","PRNP","AAMP",0.0850333678744187,1.03029526813706e-08
"24","PRNP","AANAT",-0.0151191802356475,0.309508581438894
"25","PRNP","AAR2",0.0859007760420246,7.28206207484813e-09
"26","PRNP","AARD",-0.0365281611039569,0.0140507566709742
"27","PRNP","AARS",0.106965426403484,5.59144624434925e-13
"28","PRNP","AARS2",-0.0104787725584468,0.481232102469573
"29","PRNP","AARSD1",0.00566222050102817,0.703519230019669
"30","PRNP","AASDH",-0.0385086646460334,0.00961941227197485
"31","PRNP","AASDHPPT",0.0705218942961496,2.07630869392394e-06
"32","PRNP","AASS",0.0259339942505685,0.0812676251868091
"33","PRNP","AATF",0.02857175787846,0.0547610758087402
"34","PRNP","AATK",0.036201272026048,0.01493421860197
"35","PRNP","AATK-AS1",-0.00840494838156723,0.572123886034017
"36","PRNP","ABAT",-0.0143132389049773,0.336011576842105
"37","PRNP","ABCA1",0.0959015287183288,1.04245717728447e-10
"38","PRNP","ABCA10",0.00489245001587626,0.742280382609367
"39","PRNP","ABCA11P",0.0558603255073825,0.000171662123835116
"40","PRNP","ABCA12",-0.0290682366125011,0.0506826046674247
"41","PRNP","ABCA13",-0.0782533905481665,1.3816380958009e-07
"42","PRNP","ABCA17P",0.00295065908352777,0.842793794456173
"43","PRNP","ABCA2",0.0615852187154132,3.42462746235912e-05
"44","PRNP","ABCA3",0.0637893325484115,1.77228826398031e-05
"45","PRNP","ABCA4",0.0196279302805477,0.187046644103134
"46","PRNP","ABCA5",-0.0460834565727255,0.00194159414053399
"47","PRNP","ABCA6",0.0102566078268746,0.490578598670882
"48","PRNP","ABCA7",0.0100343535258555,0.500025605686511
"49","PRNP","ABCA8",0.0695720293868335,2.84404333025075e-06
"50","PRNP","ABCA9",-0.0605597404139067,4.61922383586311e-05
"51","PRNP","ABCB1",0.0290583600273024,0.0507611872218391
"52","PRNP","ABCB10",0.0232391560385001,0.118248122979894
"53","PRNP","ABCB11",0.0155566323239606,0.295717532902549
"54","PRNP","ABCB4",0.00436777466097923,0.769086655083588
"55","PRNP","ABCB5",-0.039554794071918,0.00782308397535065
"56","PRNP","ABCB6",0.011240699161348,0.449926434659176
"57","PRNP","ABCB7",0.0462251828589648,0.00187998403159992
"58","PRNP","ABCB8",0.0397199779380807,0.00756871848906448
"59","PRNP","ABCB9",0.0462717528386521,0.00186013471295912
"60","PRNP","ABCC1",0.00506223784351362,0.733670463945564
"61","PRNP","ABCC10",0.0285906372028768,0.0546011270624315
"62","PRNP","ABCC11",-0.0182915179847542,0.218877365341861
"63","PRNP","ABCC12",-0.00638930853384692,0.667599537993719
"64","PRNP","ABCC13",-0.0185612828184948,0.2121574583305
"65","PRNP","ABCC2",-0.0170113295437152,0.252850071342687
"66","PRNP","ABCC3",0.0873608805448264,4.02944605814977e-09
"67","PRNP","ABCC4",0.0432552335456571,0.00362996235726936
"68","PRNP","ABCC5",0.00815719453004771,0.583504232609394
"69","PRNP","ABCC5-AS1",0.0299570183065721,0.0440165082984527
"70","PRNP","ABCC6",0.0189177744629476,0.203507502417535
"71","PRNP","ABCC6P1",0.016210410254409,0.275884376833286
"72","PRNP","ABCC6P2",0.0561651881520292,0.00015810777305982
"73","PRNP","ABCC8",0.00232087163858572,0.876039762565023
"74","PRNP","ABCC9",-0.0783916813234246,1.31307995056578e-07
"75","PRNP","ABCD1",0.0259517823386827,0.0810590345542908
"76","PRNP","ABCD2",0.0239852158263738,0.106889134775715
"77","PRNP","ABCD3",0.131261703231833,7.94644968074407e-19
"78","PRNP","ABCD4",0.0463757039537349,0.00181652049673592
"79","PRNP","ABCE1",0.0932864022392386,3.30599451465052e-10
"80","PRNP","ABCF1",0.0526066378401465,0.000402764408091008
"81","PRNP","ABCF2",0.0381556210983579,0.0103038175272011
"82","PRNP","ABCF3",0.0487252224137964,0.00104959834025336
"83","PRNP","ABCG1",-0.0169770966377944,0.253806342092059
"84","PRNP","ABCG2",0.00132088547292568,0.929256867217842
"85","PRNP","ABCG4",0.0276337142622028,0.0632142416447688
"86","PRNP","ABCG5",0.0141700193882764,0.340869764935508
"87","PRNP","ABCG8",-0.0237030562266113,0.111079014294692
"88","PRNP","ABHD1",0.0170404577013375,0.252038376285161
"89","PRNP","ABHD10",0.0501728591659404,0.000739872795493194
"90","PRNP","ABHD11",0.000753677372262888,0.959599292105053
"91","PRNP","ABHD12",0.122158795169287,1.70119587434333e-16
"92","PRNP","ABHD12B",0.0566965000068405,0.00013686130341063
