"","population","fc","mean.p","mean.np","pval","p.adj","gene"
"ABCE1","PRNP_positive_cells",0.0266685154804938,5.07661855904931,5.04995004356881,5.80506330520666e-10,7.59186179054926e-06,"ABCE1"
"ABCF1","PRNP_negative_cells",0.119823218559989,4.30532108642038,4.18549786786039,5.624633859621e-07,0.00735589616161235,"ABCF1"
"ABCF2","PRNP_negative_cells",0.236504569096037,5.24113537221442,5.00463080311838,0.000224454142105112,1,"ABCF2"
"ABCF3","PRNP_negative_cells",0.158847434329068,4.36158656194046,4.20273912761139,4.95785534790916e-07,0.0064838832239956,"ABCF3"
"ABCG1","PRNP_negative_cells",0.502145972499005,3.25729901514989,2.75515304265089,0.185228622427184,1,"ABCG1"
"ABHD10","PRNP_negative_cells",0.234250351472821,5.20327812283603,4.9690277713632,5.65832439751874e-08,0.0007399956647075,"ABHD10"
"ABHD11","PRNP_negative_cells",0.265939388654513,4.00272314163761,3.7367837529831,0.342703193814331,1,"ABHD11"
"ABHD12","PRNP_positive_cells",0.289394159579127,4.75272698341129,4.46333282383217,8.91487061915911e-23,1.16588677957363e-18,"ABHD12"
"ABHD13","PRNP_negative_cells",0.0163400890193972,3.50722456958316,3.49088448056377,2.01595831018304e-06,0.0263647027805739,"ABHD13"
"ABHD14A","PRNP_negative_cells",0.349376466987642,5.06394991723537,4.71457345024773,7.30284445160573e-07,0.00955065997380997,"ABHD14A"
"ABHD14B","PRNP_negative_cells",0.14528303670834,2.95066247598489,2.80537943927655,3.32604476691629e-11,4.34980134617312e-07,"ABHD14B"
"ABHD15","PRNP_negative_cells",0.0246530653711219,1.36030234913375,1.33564928376263,0.00152540945489505,1,"ABHD15"
"ABHD16A","PRNP_negative_cells",0.0943570635804569,5.5128202534557,5.41846318987525,1.72159162737488e-06,0.0225149753028087,"ABHD16A"
"ABHD2","PRNP_positive_cells",0.309548962116112,4.93196919594774,4.62242023383163,7.31521897143911e-16,9.56684337084807e-12,"ABHD2"
"ABHD3","PRNP_negative_cells",0.125652274123847,5.12196683991179,4.99631456578794,6.75751367186982e-06,0.0883747638007135,"ABHD3"
"ABHD4","PRNP_positive_cells",0.389153759637798,4.7876727924322,4.3985190327944,7.50230582242025e-23,9.8115155545612e-19,"ABHD4"
"ABHD5","PRNP_negative_cells",0.02014280730178,3.45734530057309,3.43720249327131,1.39106670075964e-08,0.000181923703125346,"ABHD5"
"ABHD6","PRNP_negative_cells",0.548053798145373,3.11396762634531,2.56591382819994,0.0807833736885449,1,"ABHD6"
"ABI1","PRNP_negative_cells",0.149212649557096,4.7229070506901,4.573694401133,8.86930632812448e-10,1.15992788159212e-05,"ABI1"
"ABI2","PRNP_positive_cells",0.105191753768357,5.51311706282543,5.40792530905707,3.06521475224731e-07,0.00400868785298904,"ABI2"
"ABL1","PRNP_negative_cells",0.32690562570457,2.84851795051472,2.52161232481015,0.095687200656537,1,"ABL1"
