"","gene1","gene2","correlation","pvalue","status"
"20511","PRNP","C2orf55",-0.0645686897824826,0.032965501328958,"Negative correlation"
"20512","PRNP","NREP",-0.0646049147665536,0.0328671733938266,"Negative correlation"
"20513","PRNP","LOC285758",-0.0646767925524512,0.0326728128757186,"Negative correlation"
"20514","PRNP","CCDC34",-0.0647437261854154,0.0324927062385029,"Negative correlation"
"20515","PRNP","CMIP",-0.0647607237145009,0.0324471043289297,"Negative correlation"
"20516","PRNP","NOP58",-0.0647909490942598,0.0323661492470075,"Negative correlation"
"20517","PRNP","PTPRM",-0.0648651174773362,0.0321682300284007,"Negative correlation"
"20518","PRNP","PABPC4",-0.0649973673988969,0.0318178890379957,"Negative correlation"
"20519","PRNP","PTPRT",-0.0650616362179812,0.0316488184994878,"Negative correlation"
"20520","PRNP","DYRK4",-0.0651197805968396,0.0314965228695176,"Negative correlation"
"20521","PRNP","RPL26L1",-0.0651579075495022,0.0313969993538837,"Negative correlation"
"20522","PRNP","ACTR3C",-0.0654111520213603,0.0307427639982854,"Negative correlation"
"20523","PRNP","TCTEX1D2",-0.0656575497325963,0.0301174713968351,"Negative correlation"
"20524","PRNP","STRADA",-0.0656729811478596,0.0300786763510844,"Negative correlation"
"20525","PRNP","BANF1",-0.065718393957777,0.0299647559110859,"Negative correlation"
"20526","PRNP","PRDX1",-0.0657556015205746,0.0298716949961083,"Negative correlation"
"20527","PRNP","RPS27L",-0.0658584160797331,0.0296158316158895,"Negative correlation"
"20528","PRNP","SNHG5",-0.0659298590780716,0.0294391495564047,"Negative correlation"
"20529","PRNP","PPIA",-0.0659621304777994,0.0293596381428546,"Negative correlation"
"20530","PRNP","NEGR1",-0.0660367588086228,0.0291764725901658,"Negative correlation"
"20531","PRNP","FAM111B",-0.0660597685238329,0.0291201966616153,"Negative correlation"
"20532","PRNP","HIST1H2BD",-0.0660678999362743,0.0291003316095674,"Negative correlation"
"20533","PRNP","TMEM126A",-0.0665563930476881,0.0279281169347652,"Negative correlation"
"20534","PRNP","RPL10A",-0.0666104599506785,0.0278009087226693,"Negative correlation"
"20535","PRNP","SAA1",-0.066661308030201,0.0276817292910748,"Negative correlation"
"20536","PRNP","PRELID2",-0.0667434529920479,0.0274901247432352,"Negative correlation"
"20537","PRNP","NDUFS4",-0.0667818714293551,0.0274009058915866,"Negative correlation"
"20538","PRNP","LARP7",-0.0668953506113931,0.0271388293120971,"Negative correlation"
"20539","PRNP","DNAH11",-0.0668989330211695,0.0271305911494641,"Negative correlation"
"20540","PRNP","C19orf53",-0.0670013889730519,0.0268958925401195,"Negative correlation"
"20541","PRNP","SKA3",-0.0670232751929242,0.0268459847224599,"Negative correlation"
"20542","PRNP","CSPP1",-0.067025231789869,0.0268415269254695,"Negative correlation"
"20543","PRNP","UBE2T",-0.067068843275631,0.0267423305818153,"Negative correlation"
"20544","PRNP","HESX1",-0.0670838651686221,0.0267082358714337,"Negative correlation"
"20545","PRNP","C1orf31",-0.0671273692339649,0.0266097075010431,"Negative correlation"
"20546","PRNP","NPM1",-0.0671915535510452,0.0264649148866425,"Negative correlation"
"20547","PRNP","WFDC1",-0.0672279499056121,0.0263831111961987,"Negative correlation"
"20548","PRNP","MED19",-0.0672908027069902,0.026242358209907,"Negative correlation"
"20549","PRNP","HOXB-AS3",-0.0673259558971527,0.0261639188684498,"Negative correlation"
"20550","PRNP","XPA",-0.0673424549774634,0.0261271733531507,"Negative correlation"
"20551","PRNP","NDUFA1",-0.0673471067704587,0.0261168212820266,"Negative correlation"
"20552","PRNP","C1orf101",-0.0673997393143283,0.0259999395857908,"Negative correlation"
"20553","PRNP","TYMS",-0.0674879576027152,0.0258050449674277,"Negative correlation"
"20554","PRNP","MDGA2",-0.0676593057683677,0.0254301001731262,"Negative correlation"
"20555","PRNP","FLJ27352",-0.067710650731988,0.0253186675379726,"Negative correlation"
"20556","PRNP","C11orf31",-0.0677148370980275,0.0253096006115879,"Negative correlation"
"20557","PRNP","MIF4GD",-0.0679060207116091,0.0248985103228763,"Negative correlation"
"20558","PRNP","SNORD35A",-0.0679199127339037,0.0248688654877609,"Negative correlation"
"20559","PRNP","KIF23",-0.0679719874139472,0.0247580124076483,"Negative correlation"
"20560","PRNP","MIR125B1",-0.0680262728033789,0.0246429085839209,"Negative correlation"
"20561","PRNP","TIPIN",-0.0680783085287606,0.0245330096999277,"Negative correlation"
"20562","PRNP","HIGD2A",-0.0681912716341794,0.0242958915689137,"Negative correlation"
"20563","PRNP","TSEN15",-0.0682773541736938,0.0241165320885634,"Negative correlation"
"20564","PRNP","TIMM10",-0.068368545904352,0.0239277788592788,"Negative correlation"
"20565","PRNP","C2orf49",-0.0684745762349924,0.023709921885659,"Negative correlation"
"20566","PRNP","RPL39L",-0.068729249450535,0.0231936619791465,"Negative correlation"
"20567","PRNP","NME7",-0.0687633141273557,0.0231253523939296,"Negative correlation"
"20568","PRNP","NDUFV3",-0.0687658219128131,0.0231203304563799,"Negative correlation"
"20569","PRNP","SFR1",-0.0687782802333733,0.0230953962036274,"Negative correlation"
"20570","PRNP","NDUFB11",-0.0687822165812259,0.0230875227930225,"Negative correlation"
"20571","PRNP","COIL",-0.0690447712580371,0.022567594286557,"Negative correlation"
"20572","PRNP","RAB42",-0.0690757732726771,0.0225068780060703,"Negative correlation"
"20573","PRNP","PID1",-0.0690822335988961,0.0224942435679497,"Negative correlation"
"20574","PRNP","LOC100132832",-0.0690929318623278,0.0224733345496809,"Negative correlation"
"20575","PRNP","ABCA5",-0.069156238597954,0.0223499508876996,"Negative correlation"
"20576","PRNP","AGTR1",-0.069174750037315,0.0223139837517893,"Negative correlation"
"20577","PRNP","C18orf32",-0.0692065798619392,0.02225225691707,"Negative correlation"
"20578","PRNP","ZNF593",-0.0692973685558807,0.0220770065111117,"Negative correlation"
"20579","PRNP","ANKRD32",-0.06931992066512,0.0220336602743056,"Negative correlation"
"20580","PRNP","FAM86EP",-0.0693970811473743,0.0218859128559332,"Negative correlation"
"20581","PRNP","CCP110",-0.069521529793014,0.0216494314752543,"Negative correlation"
"20582","PRNP","HOXB2",-0.0696317238306413,0.0214418944162974,"Negative correlation"
"20583","PRNP","ABCA8",-0.0697169585328636,0.0212825539025489,"Negative correlation"
"20584","PRNP","MIR663A",-0.0697509361694579,0.0212193226989427,"Negative correlation"
"20585","PRNP","HOXC4",-0.0697985261521829,0.0211310341525216,"Negative correlation"
"20586","PRNP","HSPB11",-0.0698502030859659,0.0210355256313443,"Negative correlation"
"20587","PRNP","KANSL1-AS1",-0.0699558101352819,0.0208415118430188,"Negative correlation"
"20588","PRNP","MLF1",-0.0699670707857882,0.0208209167556443,"Negative correlation"
"20589","PRNP","C1orf123",-0.0702268182025259,0.0203507461671017,"Negative correlation"
"20590","PRNP","LOC100505978",-0.0702441441124399,0.0203197160864405,"Negative correlation"
"20591","PRNP","UBA52",-0.07034306689019,0.0201433372768144,"Negative correlation"
"20592","PRNP","FAM159B",-0.0703881188818744,0.0200634529666819,"Negative correlation"
"20593","PRNP","SNORA10",-0.0703903802438472,0.0200594505018063,"Negative correlation"
"20594","PRNP","NDC80",-0.0704424379915188,0.0199675038555938,"Negative correlation"
"20595","PRNP","CEP290",-0.0705100907165364,0.019848561785482,"Negative correlation"
"20596","PRNP","HSPE1",-0.0705914163818269,0.0197063989672495,"Negative correlation"
"20597","PRNP","RPL3",-0.0707236519008229,0.0194771377565,"Negative correlation"
"20598","PRNP","IER3",-0.070789480170739,0.0193638790689166,"Negative correlation"
"20599","PRNP","VIPR2",-0.0709091631283733,0.0191594341368907,"Negative correlation"
"20600","PRNP","THG1L",-0.0710091421967505,0.0189900947956175,"Negative correlation"
"20601","PRNP","CXorf22",-0.0710524718352898,0.0189171121752221,"Negative correlation"
"20602","PRNP","PSMB4",-0.0710621680213179,0.0189008139071535,"Negative correlation"
"20603","PRNP","MIEN1",-0.0710630174634477,0.0188993866687356,"Negative correlation"
"20604","PRNP","SRP19",-0.0711319118880124,0.0187839427262273,"Negative correlation"
"20605","PRNP","HMCN1",-0.0712574420301992,0.0185751792839966,"Negative correlation"
"20606","PRNP","RALYL",-0.0712708880473693,0.0185529384952772,"Negative correlation"
"20607","PRNP","ACN9",-0.0713667601173121,0.0183950318229659,"Negative correlation"
"20608","PRNP","C1orf131",-0.071388196653247,0.0183598857746279,"Negative correlation"
"20609","PRNP","CSMD3",-0.0713944468444378,0.0183496493978429,"Negative correlation"
"20610","PRNP","C17orf61",-0.0714057262736299,0.0183311889103581,"Negative correlation"
"20611","PRNP","HMGA2",-0.0714618127537932,0.0182396358049278,"Negative correlation"
"20612","PRNP","ARHGAP19-SLIT1",-0.0714629176583416,0.0182378362300704,"Negative correlation"
"20613","PRNP","ING2",-0.0717674261790777,0.0177477574388141,"Negative correlation"
"20614","PRNP","SH3BGRL3",-0.0718435491493859,0.0176270599440255,"Negative correlation"
"20615","PRNP","RSL24D1",-0.0718473853490053,0.0176209964832483,"Negative correlation"
"20616","PRNP","ALS2",-0.0718949000749191,0.017546046367832,"Negative correlation"
"20617","PRNP","CMC1",-0.0719198737906379,0.017506764632151,"Negative correlation"
"20618","PRNP","TREM1",-0.0720742427913222,0.0172656586370194,"Negative correlation"
"20619","PRNP","MRPL36",-0.0720904212801656,0.0172405589357494,"Negative correlation"
"20620","PRNP","MTRNR2L8",-0.0722187247361081,0.0170426350948855,"Negative correlation"
"20621","PRNP","HMGCS1",-0.072236147122901,0.0170159130462473,"Negative correlation"
"20622","PRNP","TRIAP1",-0.0724385545787195,0.0167081460319264,"Negative correlation"
"20623","PRNP","RPS18",-0.0724395620138625,0.0167066264822467,"Negative correlation"
"20624","PRNP","PARP4",-0.0724676959309597,0.0166642400236347,"Negative correlation"
"20625","PRNP","COX7A2",-0.0725135646511585,0.0165953365552563,"Negative correlation"
"20626","PRNP","COL11A1",-0.072612752733181,0.0164471911132143,"Negative correlation"
"20627","PRNP","PLA2G2A",-0.0726592143916416,0.0163781967417722,"Negative correlation"
"20628","PRNP","FLJ12825",-0.0727126904107393,0.0162991006583013,"Negative correlation"
"20629","PRNP","EP400",-0.0727194213307654,0.0162891687793511,"Negative correlation"
"20630","PRNP","ATP5G3",-0.0728143145577506,0.0161497122353334,"Negative correlation"
"20631","PRNP","DHRSX",-0.0728161362915229,0.0161470452711718,"Negative correlation"
"20632","PRNP","SNORD87",-0.072860442011456,0.0160823019317032,"Negative correlation"
"20633","PRNP","HDC",-0.0729795212457364,0.0159094210838536,"Negative correlation"
"20634","PRNP","ALMS1",-0.0730023473461596,0.0158764688740573,"Negative correlation"
"20635","PRNP","KBTBD3",-0.0730795265849481,0.0157654949257236,"Negative correlation"
"20636","PRNP","CCDC152",-0.0730878435810836,0.0157535769048275,"Negative correlation"
"20637","PRNP","DBF4",-0.0730971962978027,0.0157401841796769,"Negative correlation"
"20638","PRNP","CCDC41",-0.073122854479629,0.0157034940067395,"Negative correlation"
"20639","PRNP","MGST1",-0.073146158049131,0.0156702359622628,"Negative correlation"
"20640","PRNP","NACA2",-0.0731750110012027,0.0156291437823207,"Negative correlation"
"20641","PRNP","NDUFB2",-0.0732782562647436,0.0154828770655626,"Negative correlation"
