"","x"
"328","ILVBL"
"329","IMPDH2"
"330","IQGAP1"
"331","IRF3"
"332","IRS2"
"333","ITM2B"
"334","ITPA"
"335","ITPK1"
"336","JMJD4"
"337","JMJD8"
"338","KCNF1"
"339","KDELR1"
"340","KDELR2"
"341","KEAP1"
"342","KHK"
"343","KLF6"
"344","KRCC1"
"345","KTN1"
"346","KXD1"
"347","LAMP1"
"348","LANCL2"
"349","LAP3"
"350","LAPTM4A"
"351","LDHA"
"352","LDLR"
"353","LGALS3"
"354","LINC00094"
"355","LIX1"
"356","LMBRD1"
"357","LMNA"
"358","LOX"
"359","LPAR1"
"360","LPL"
"361","LRP1"
"362","LRPAP1"
"363","LRR1"
"364","LRRC59"
"365","LRWD1"
"366","LYPLA1"
"367","LYRM5"
"368","M6PR"
"369","MAF1"
"370","MAFF"
"371","MAGED1"
"372","MAOB"
"373","MAP2K5"
"374","MAP3K6"
"375","MAPK4"
"376","MAPKAPK3"
"377","MATN2"
"378","MAX"
"379","MBOAT2"
"380","MED16"
"381","MED26"
"382","MED29"
"383","METRN"
"384","MFSD2A"
"385","MFSD5"
"386","MGAT1"
"387","MGAT2"
"388","MGLL"
"389","MID1IP1"
"390","MIER2"
"391","MIR22HG"
"392","MKKS"
"393","MOB3A"
"394","MOSPD2"
"395","MOXD1"
"396","MPP1"
"397","MPST"
"398","MPV17L2"
"399","MRO"
"400","MRPL19"
"401","MRPL34"
"402","MRPL4"
"403","MRPS12"
"404","MRPS2"
"405","MSN"
"406","MTCH1"
"407","MTHFD1"
"408","MTHFS"
"409","MUL1"
"410","MVD"
"411","MYADM"
"412","MYL12A"
"413","MZF1"
"414","NACC2"
"415","NANS"
"416","NAPA"
"417","NARS"
"418","NAT14"
"419","NCLN"
"420","NCOA4"
"421","NDFIP1"
"422","NDFIP2"
"423","NDP"
"424","NDRG4"
"425","NDUFV1"
"426","NECAB3"
"427","NEDD9"
"428","NEK6"
"429","NES"
"430","NEU1"
"431","NFIC"
"432","NFKBIB"
"433","NFS1"
"434","NLN"
"435","NOP2"
"436","NOTCH3"
"437","NOTCH4"
"438","NPC2"
"439","NPDC1"
"440","NPEPL1"
"441","NPNT"
"442","NR1H2"
"443","NR2C2AP"
"444","NR2E1"
"445","NRP2"
"446","NTHL1"
"447","NTRK2"
"448","NUCB1"
"449","NUDT22"
"450","OCEL1"
"451","OLFM2"
"452","OMA1"
"453","OPTN"
"454","ORAI1"
"455","ORC5"
"456","OSBPL2"
"457","OSGIN2"
"458","P4HB"
"459","P4HTM"
"460","PACRGL"
"461","PAFAH2"
"462","PAM"
"463","PARD3B"
"464","PCMT1"
"465","PCNP"
"466","PCOLCE"
"467","PCSK5"
"468","PDE6B"
"469","PDHX"
"470","PDIA6"
"471","PDK2"
"472","PDLIM4"
"473","PDLIM5"
"474","PDRG1"
"475","PDXK"
"476","PEBP1"
"477","PEF1"
"478","PEG3"
"479","PEPD"
"480","PEX10"
"481","PEX3"
"482","PFKL"
"483","PFKP"
"484","PGAM2"
"485","PGK1"
"486","PGM3"
"487","PGRMC1"
"488","PHACTR2"
"489","PHF11"
"490","PHF20"
"491","PHF23"
"492","PHGDH"
"493","PI4KB"
"494","PIGP"
"495","PIM1"
"496","PIM2"
"497","PIR"
"498","PKN1"
"499","PKP4"
"500","PLA2G16"
"501","PLA2G4C"
"502","PLA2G5"
"503","PLD2"
"504","PLD3"
"505","PLEKHA5"
"506","PLIN2"
"507","PLIN3"
"508","PLOD1"
"509","PLOD3"
"510","PLP2"
"511","PLSCR1"
"512","PLSCR4"
"513","PLTP"
"514","PMP2"
"515","PMP22"
"516","PNMA1"
"517","PNPLA2"
"518","PNRC1"
"519","POC1B"
"520","POFUT2"
"521","POLD2"
"522","POLE3"
"523","POLR2E"
"524","POLRMT"
"525","PON2"
"526","POP4"
"527","POR"
"528","PORCN"
"529","PPIF"
"530","PPP1R11"
"531","PPP3CC"
"532","PQBP1"
"533","PQLC2"
"534","PQLC3"
"535","PRAF2"
"536","PRDX6"
"537","PRKACB"
"538","PRKCSH"
"539","PRMT6"
"540","PRNP"
"541","PROSC"
"542","PSMB8"
"543","PSMC4"
"544","PSMD8"
"545","PSME3"
"546","PSMF1"
"547","PSMG1"
"548","PTPRA"
"549","PTRF"
"550","PTTG1IP"
"551","PUSL1"
"552","PVR"
"553","PVRL2"
"554","PXN"
"555","PYCR1"
"556","PYCR2"
"557","PYROXD1"
"558","QTRT1"
"559","QTRTD1"
"560","RAB10"
"561","RAB13"
"562","RAB31"
"563","RAB34"
"564","RAB4A"
"565","RAB5A"
"566","RAB8A"
"567","RABAC1"
"568","RAD23A"
"569","RAMP1"
"570","RAMP2"
"571","RARRES3"
"572","RASA3"
"573","RBMS1"
"574","RCAN1"
"575","RDH10"
"576","RDH11"
"577","RDH5"
"578","REEP2"
"579","REEP3"
"580","REEP5"
"581","RER1"
"582","REXO2"
"583","REXO4"
"584","RFK"
"585","RFX2"
"586","RGMA"
"587","RGN"
"588","RGS20"
"589","RGS6"
"590","RHBDD2"
"591","RHEB"
"592","RHOC"
"593","RHOJ"
"594","RHPN2"
"595","RIN1"
"596","RIPK2"
"597","RND2"
"598","RNF114"
"599","RNF123"
"600","RNF13"
"601","RNF139"
"602","RNF146"
"603","RNH1"
"604","RPGR"
"605","RPL13A"
"606","RPS6KA2"
"607","RPUSD2"
"608","RRBP1"
"609","RRP1"
"610","RRP36"
"611","RRS1"
"612","RSPRY1"
"613","RUVBL2"
"614","RWDD2A"
"615","S100A11"
"616","S100A13"
"617","SAMD4A"
"618","SATB2"
"619","SAV1"
"620","SBDS"
"621","SCAMP4"
"622","SDC2"
"623","SDF4"
"624","SDSL"
"625","SEC14L2"
"626","SEC22C"
"627","SEC23B"
"628","SELT"
"629","SEPT2"
"630","SEPW1"
"631","SERINC1"
"632","SERINC3"
"633","SERPINB6"
"634","SERPING1"
"635","SERTAD1"
"636","SERTAD3"
"637","SETD3"
"638","SEZ6L2"
"639","SF3A3"
"640","SFRP4"
"641","SFT2D1"
"642","SFXN3"
"643","SGK1"
"644","SGTA"
"645","SH3GL1"
"646","SHISA4"
"647","SIAE"
"648","SIGMAR1"
"649","SIRPA"
"650","SIRT2"
"651","SKIV2L"
"652","SLC12A4"
"653","SLC12A9"
"654","SLC1A3"
"655","SLC22A5"
"656","SLC25A11"
"657","SLC25A18"
"658","SLC25A23"
"659","SLC25A43"
"660","SLC25A6"
"661","SLC27A1"
"662","SLC27A5"
"663","SLC2A1"
"664","SLC2A10"
"665","SLC2A4RG"
"666","SLC35A2"
"667","SLC35B3"
"668","SLC38A6"
"669","SLC39A1"
"670","SLC3A2"
"671","SLC41A3"
"672","SLC44A2"
"673","SLC48A1"
"674","SLC4A1AP"
"675","SLC4A4"
"676","SLC6A9"
"677","SLC7A11"
"678","SLCO1C1"
"679","SMAD1"
"680","SMOX"
"681","SMS"
"682","SMUG1"
"683","SMYD2"
"684","SNUPN"
"685","SNX17"
"686","SNX18"
"687","SNX21"
"688","SNX3"
"689","SNX5"
"690","SNX7"
"691","SNX9"
"692","SOCS2"
"693","SPARC"
"694","SPATA2L"
"695","SPATA7"
"696","SPATS2L"
"697","SPCS2"
"698","SPIN2B"
"699","SPRY1"
"700","SPRY2"
"701","SPRYD3"
"702","SQSTM1"
"703","SRPRB"
"704","SSBP4"
"705","SSNA1"
"706","SSPN"
"707","SSR3"
"708","ST6GALNAC4"
"709","ST6GALNAC6"
"710","STAU1"
"711","STK11"
"712","STMN3"
"713","STOM"
"714","STX4"
"715","STX7"
"716","SURF4"
"717","SYNGR2"
"718","SYNM"
"719","SYPL1"
"720","SYT11"
"721","SYTL2"
"722","TAF10"
"723","TAGLN2"
"724","TBC1D25"
"725","TBL2"
"726","TBL3"
"727","TCTA"
"728","TECR"
"729","TFE3"
"730","TGFB1I1"
"731","TLCD1"
"732","TM2D1"
"733","TMBIM1"
"734","TMBIM4"
"735","TMCO3"
"736","TMED1"
"737","TMED10"
"738","TMED7"
"739","TMED9"
"740","TMEM109"
"741","TMEM115"
"742","TMEM150A"
"743","TMEM176A"
"744","TMEM176B"
"745","TMEM189"
"746","TMEM205"
"747","TMEM231"
"748","TMEM234"
"749","TMEM38A"
"750","TMEM38B"
"751","TMEM43"
"752","TMEM45A"
"753","TMEM5"
"754","TMEM70"
"755","TMX2"
"756","TMX4"
"757","TNFAIP1"
"758","TNFAIP6"
"759","TNFRSF12A"
"760","TNFRSF1A"
"761","TNIP2"
"762","TNS3"
"763","TOMM40"
"764","TOR1AIP1"
"765","TPD52"
"766","TPD52L2"
"767","TPGS1"
"768","TPM4"
"769","TPST1"
"770","TRADD"
"771","TRAM1"
"772","TRIB1"
"773","TRIP6"
"774","TRMT1"
"775","TSC22D4"
"776","TSHZ3"
"777","TSKU"
"778","TSPAN5"
"779","TSPO"
"780","TTYH1"
"781","TUBA1C"
"782","TUBB4A"
"783","TUBB4B"
"784","TUBB6"
"785","TWSG1"
"786","TXNDC15"
"787","TXNRD2"
"788","TYK2"
"789","UAP1"
"790","UBA5"
"791","UBAP1"
"792","UBE2M"
"793","UBL4A"
"794","UGP2"
"795","UMPS"
"796","UPP1"
"797","USP53"
"798","VAMP3"
"799","VAMP5"
"800","VAPB"
"801","VIM"
"802","VPS16"
"803","VPS36"
"804","VPS37C"
"805","VTI1B"
"806","VWA1"
"807","WARS2"
"808","WDR1"
"809","WDR13"
"810","WDR18"
"811","WDR25"
"812","WIPI1"
"813","WLS"
"814","WWC1"
"815","YIPF1"
"816","YIPF2"
"817","YIPF3"
"818","ZBED3"
"819","ZC3H14"
"820","ZDHHC24"
"821","ZFAND3"
"822","ZFP36"
"823","ZFP36L2"
"824","ZFPL1"
"825","ZFYVE21"
"826","ZNF267"
"827","ZNF333"
"828","ZNF354B"
"829","ZNF415"
"830","ZNF419"
"831","ZNF439"
"832","ZNF44"
"833","ZNF444"
"834","ZNF558"
"835","ZNF584"
"836","ZNF596"
"837","ZNF688"
"838","ZNF714"
"839","ZNHIT2"
"840","ZYX"
