"","x"
"1376","GMEB2"
"1377","CLPB"
"1378","ARHGAP31"
"1379","NLN"
"1380","SNX7"
"1381","SRP9"
"1382","THSD1"
"1383","COG1"
"1384","ABCD4"
"1385","NDUFS2"
"1386","RGS12"
"1387","ATP1B2"
"1388","CCDC85B"
"1389","ITGA7"
"1390","SERPINH1"
"1391","CCDC130"
"1392","ABCA1"
"1393","CRNDE"
"1394","FAM20C"
"1395","ETFB"
"1396","GPR155"
"1397","NCOA1"
"1398","B4GALT4"
"1399","ARL5A"
"1400","PFKFB2"
"1401","CLTC"
"1402","TCP1"
"1403","MRPL49"
"1404","ATP2C1"
"1405","UVRAG"
"1406","TUFM"
"1407","RGS11"
"1408","CDK14"
"1409","ZNF568"
"1410","PYCRL"
"1411","FLCN"
"1412","CD2BP2"
"1413","PIRT"
"1414","LPCAT3"
"1415","ISCA2"
"1416","CSNK1D"
"1417","MGLL"
"1418","TMEM33"
"1419","KLC2"
"1420","BECN1"
"1421","MED12L"
"1422","ARHGAP12"
"1423","PLEC"
"1424","TCEA1"
"1425","ACOT8"
"1426","MRPL28"
"1427","PNPLA2"
"1428","ARIH2"
"1429","SWAP70"
"1430","LHFP"
"1431","RNF139"
"1432","LARP4"
"1433","RCN3"
"1434","ISYNA1"
"1435","GOT2"
"1436","LRRC61"
"1437","CNEP1R1"
"1438","RBCK1"
"1439","SAYSD1"
"1440","GNPTG"
"1441","PTPN11"
"1442","MSX1"
"1443","DEF8"
"1444","CAPZA1"
"1445","TMEM9"
"1446","EIF2B3"
"1447","TSPO"
"1448","ALDH2"
"1449","ATG2B"
"1450","PARP9"
"1451","RAB24"
"1452","DLGAP4"
"1453","MXRA8"
"1454","KARS"
"1455","SLC41A3"
"1456","TACC1"
"1457","NAA15"
"1458","COL6A1"
"1459","TMX2"
"1460","NLGN4X"
"1461","ARFGAP3"
"1462","DHCR7"
"1463","HDLBP"
"1464","NBN"
"1465","FAM134C"
"1466","KDSR"
"1467","SSH3"
"1468","MRPL3"
"1469","SSC5D"
"1470","PNO1"
"1471","RPP40"
"1472","GORASP1"
"1473","NUMB"
"1474","ZNF229"
"1475","PLEKHA7"
"1476","DNER"
"1477","IRAK2"
"1478","NEDD4"
"1479","RTN3"
"1480","CLMN"
"1481","ETV6"
"1482","UPRT"
"1483","ICMT"
"1484","WDR45"
"1485","ABR"
"1486","THOC2"
"1487","RIPK2"
"1488","UBAP2L"
"1489","KIF13B"
"1490","UBA7"
"1491","SLC25A43"
"1492","COLEC12"
"1493","COL16A1"
"1494","L3MBTL4"
"1495","ZNF708"
"1496","UBE2D4"
"1497","NFS1"
"1498","SMUG1"
"1499","TRIP6"
"1500","ZNF439"
"1501","DUSP3"
"1502","ZBTB10"
"1503","EPAS1"
"1504","FAM57A"
"1505","ELOVL4"
"1506","SLC26A11"
"1507","CUL1"
"1508","FZD7"
"1509","ALAD"
"1510","ANKRD17"
"1511","ACAD9"
"1512","PSMC6"
"1513","GPR137"
"1514","RDH13"
"1515","DOCK7"
"1516","C1orf109"
"1517","DCK"
"1518","SSBP2"
"1519","UBE2A"
"1520","RRP1"
"1521","TANK"
"1522","TRIB2"
"1523","ZNF263"
"1524","NPAS3"
"1525","RRAGA"
"1526","DIS3L"
"1527","F2R"
"1528","SPRED2"
"1529","RABL3"
"1530","CPT2"
"1531","IGSF8"
"1532","SPATA7"
"1533","COQ10B"
"1534","BCL2L13"
"1535","IRF3"
"1536","HEG1"
"1537","TSPAN12"
"1538","ZNF227"
"1539","PRPF40A"
"1540","CLK3"
"1541","TMEM184C"
"1542","SH3BGRL"
"1543","KANK1"
"1544","DTD1"
"1545","RPA1"
"1546","NEK1"
"1547","RABAC1"
"1548","GNAQ"
"1549","TMEM175"
"1550","FN3KRP"
"1551","USP9X"
"1552","C19orf12"
"1553","RAPGEF1"
"1554","OTUB1"
"1555","HMBOX1"
"1556","EXOC1"
"1557","APEH"
"1558","RALA"
"1559","ERLEC1"
"1560","AIP"
"1561","KAT5"
"1562","TBCE"
"1563","MFSD5"
"1564","C19orf60"
"1565","ZNF132"
"1566","PYCR2"
"1567","TMEM47"
"1568","LDHA"
"1569","BTN2A1"
"1570","PLA2G4C"
"1571","LANCL1"
"1572","LAP3"
"1573","ITGB1BP1"
"1574","RGL2"
"1575","TRAPPC5"
"1576","BOLA3-AS1"
"1577","TLR4"
"1578","ERCC3"
"1579","ZC3H7A"
"1580","ANO10"
"1581","TSPAN6"
"1582","EHD1"
"1583","ALDH1L1"
"1584","IDH3A"
"1585","CARD16"
"1586","PFKP"
"1587","C1orf204"
"1588","FAM63B"
"1589","ATPAF2"
"1590","C14orf79"
"1591","SNX19"
"1592","GMPPA"
"1593","SCFD1"
"1594","GPR108"
"1595","CHMP5"
"1596","CCDC28A"
"1597","ATG4B"
"1598","PHF1"
"1599","ZNF324"
"1600","GMPR"
"1601","TMEM87A"
"1602","ACO1"
"1603","WDR77"
"1604","PYCR1"
"1605","CAB39"
"1606","NIPA2"
"1607","CTBS"
"1608","OCIAD2"
"1609","CCDC47"
"1610","ZNFX1"
"1611","NDUFA5"
"1612","ADI1"
"1613","ARFIP2"
"1614","DPH1"
"1615","RNF216"
"1616","FBXO8"
"1617","ATF2"
"1618","SERTAD1"
"1619","ATXN1"
"1620","TTC27"
"1621","PRKAG2"
"1622","BTN3A2"
"1623","RFFL"
"1624","ST6GALNAC4"
"1625","GBAS"
"1626","CCDC115"
"1627","LAS1L"
"1628","MAP2K3"
"1629","TEX264"
"1630","STX17"
"1631","NEIL1"
"1632","RYR3"
"1633","REXO2"
"1634","CCDC102B"
"1635","ARHGEF3"
"1636","RRP36"
"1637","AAGAB"
"1638","C5orf22"
"1639","MAPKAPK5"
"1640","LYNX1"
"1641","GTF2IRD1"
"1642","PLEKHF2"
"1643","FAH"
"1644","PRPS1"
"1645","ACTR10"
"1646","FAHD2A"
"1647","BLVRA"
"1648","PIP5K1C"
"1649","ZNF331"
"1650","RAB8B"
"1651","DPY19L3"
"1652","MYO6"
"1653","NDP"
"1654","PDIA5"
"1655","C7orf49"
"1656","PDE8A"
"1657","ENSA"
"1658","NUDT16"
"1659","NUDT10"
"1660","DIDO1"
"1661","POLE4"
"1662","ANGPT1"
"1663","ZC3H3"
"1664","PLEKHA3"
"1665","GLOD4"
"1666","RUFY1"
"1667","FKBP10"
"1668","MARC2"
"1669","SOCS2"
"1670","SRPRB"
"1671","COG6"
"1672","BAIAP2"
"1673","ESYT1"
"1674","UBE2J2"
"1675","FMN2"
"1676","HS6ST1"
"1677","COTL1"
"1678","MAP1LC3B"
"1679","SNX6"
"1680","BID"
"1681","LGI4"
"1682","RFTN1"
"1683","NCOA4"
"1684","DLST"
"1685","FNDC3B"
"1686","SLC4A3"
"1687","DSCR3"
"1688","UBE2J1"
"1689","SLC2A10"
"1690","NDRG3"
"1691","NACC2"
"1692","ANKIB1"
"1693","POLE3"
"1694","C14orf169"
"1695","PAICS"
"1696","IMPDH2"
"1697","CCDC22"
"1698","FOXG1"
"1699","PPP2R5A"
"1700","HMGN4"
"1701","ST7"
"1702","CYP2U1"
"1703","R3HCC1"
"1704","CKAP4"
"1705","VPS13D"
"1706","GCDH"
"1707","SLC25A42"
"1708","COPS7A"
"1709","TMBIM6"
"1710","CALU"
"1711","AP2A1"
"1712","ZNF853"
"1713","HMGA1"
"1714","SACM1L"
"1715","WDR25"
"1716","SNUPN"
"1717","SLC38A9"
"1718","CDC14B"
"1719","RRAGD"
"1720","PIM2"
"1721","CCS"
"1722","FBXO21"
"1723","FGFR1OP"
"1724","SLC27A5"
"1725","PRKCSH"
"1726","GOLGA5"
"1727","FAM91A1"
"1728","ZNF385C"
"1729","AGFG1"
"1730","AGGF1"
"1731","PAFAH1B1"
"1732","TRAPPC6B"
"1733","ALDH4A1"
"1734","WBSCR22"
"1735","SCP2"
"1736","CNTNAP1"
"1737","OXA1L"
"1738","ZNF862"
"1739","RRBP1"
"1740","AMPD2"
"1741","CDH11"
"1742","POC1B"
"1743","AK2"
"1744","LRRFIP2"
"1745","COPS5"
"1746","BSDC1"
"1747","NAGA"
"1748","TECPR2"
"1749","STX10"
"1750","IST1"
"1751","PSME1"
"1752","PWWP2A"
"1753","ZNF558"
"1754","FOXO1"
"1755","EIF6"
"1756","SNX18"
"1757","VPS11"
"1758","CAT"
"1759","SP100"
"1760","OGDH"
"1761","MANSC1"
"1762","GUK1"
"1763","MON1A"
"1764","LIMCH1"
"1765","TMEM109"
"1766","VCPIP1"
"1767","GABARAPL2"
"1768","TOX4"
"1769","NECAP2"
"1770","ABI1"
"1771","ATXN1L"
"1772","PRKACA"
"1773","PPM1G"
"1774","ANKRA2"
"1775","GEMIN4"
"1776","NOL7"
"1777","CAMK2G"
"1778","PARVB"
"1779","ANO6"
"1780","SPOCK2"
"1781","CHST12"
"1782","TXNRD2"
"1783","PTCD3"
"1784","SPON1"
"1785","PPP1CA"
"1786","ALG3"
"1787","IFT46"
"1788","PEF1"
"1789","ST6GALNAC6"
"1790","SLC25A38"
"1791","NAP1L3"
"1792","TMEM209"
"1793","PCIF1"
"1794","COMMD9"
"1795","VPS13B"
"1796","POMT1"
"1797","KLHL25"
"1798","LONP2"
"1799","KPNA4"
"1800","DRG2"
"1801","CAP1"
"1802","NFKB1"
"1803","DNAJC16"
"1804","AIFM3"
"1805","CSDE1"
"1806","DECR1"
"1807","AGPAT3"
"1808","PSMD8"
"1809","MEOX2"
"1810","TBCB"
"1811","SHC4"
"1812","PSMG1"
"1813","NEK4"
"1814","IPO13"
"1815","ASH2L"
"1816","DNAJC18"
"1817","TRMT1"
"1818","CPEB2"
"1819","DCBLD2"
"1820","ECSIT"
"1821","ZNF592"
"1822","CLN8"
"1823","CCDC12"
"1824","PPP2R5C"
"1825","MUT"
"1826","ATF7"
"1827","MAN2B2"
"1828","VCP"
"1829","AIF1L"
"1830","ERBB2IP"
"1831","NECAB3"
"1832","MSH2"
"1833","CAPG"
"1834","DNPEP"
"1835","JMJD8"
"1836","KIAA0196"
"1837","RBBP7"
"1838","ITGB4"
"1839","RRAGB"
"1840","ADAM10"
"1841","BCAR3"
"1842","EIF3D"
"1843","SDHC"
"1844","DPM2"
"1845","MIR497HG"
"1846","GRAMD3"
"1847","PHF20"
"1848","UFSP2"
"1849","IQCE"
"1850","APBA3"
"1851","KRCC1"
"1852","NUPR1"
"1853","LRWD1"
"1854","DHPS"
"1855","MAP1S"
"1856","ERGIC2"
"1857","MPST"
"1858","COPS8"
"1859","APPL1"
"1860","STX16"
"1861","CXCL16"
"1862","RER1"
"1863","CRCP"
"1864","TCEAL7"
"1865","AEBP1"
"1866","EIF5A"
"1867","SPOP"
"1868","ETV4"
"1869","KIAA1033"
"1870","SUMF1"
"1871","VBP1"
"1872","LIMS1"
"1873","FAM98C"
"1874","YIPF2"
"1875","MUM1"
"1876","EFR3B"
"1877","CYP46A1"
"1878","PRAF2"
"1879","IQGAP1"
"1880","UHMK1"
"1881","CCDC94"
"1882","ZNF805"
"1883","DALRD3"
"1884","MFSD10"
"1885","METTL3"
"1886","KTN1"
"1887","TRAFD1"
"1888","SPPL2A"
"1889","TMEM185A"
"1890","BHLHE40"
"1891","RBM10"
"1892","PRKAG1"
"1893","SLU7"
"1894","CSNK1A1"
"1895","UEVLD"
"1896","TALDO1"
"1897","CREG1"
"1898","KCTD12"
"1899","PPP1R11"
"1900","ZNF655"
"1901","DMAP1"
"1902","ABCD3"
"1903","DCP1B"
"1904","RDH10"
"1905","ZNF468"
"1906","MPV17L2"
"1907","PLSCR4"
"1908","MOB3A"
"1909","ORAI3"
"1910","TBRG1"
"1911","TYW1"
"1912","CHMP2A"
"1913","PROSC"
"1914","MIIP"
"1915","SGTB"
"1916","MOCS1"
"1917","ADAM15"
"1918","LEPROT"
"1919","RAB22A"
"1920","MGA"
"1921","SPRED1"
"1922","PCDH17"
"1923","BEX4"
"1924","NTRK3"
"1925","PHKA1"
"1926","ASMTL"
"1927","SLC41A1"
"1928","ENHO"
"1929","FAM160B2"
"1930","THAP4"
"1931","NUB1"
"1932","HEBP1"
"1933","PARP3"
"1934","CSNK2A1"
"1935","RAD23A"
"1936","PRKAB1"
"1937","TAX1BP3"
"1938","AIDA"
"1939","PPM1K"
"1940","TMEM170A"
"1941","ANXA1"
"1942","C17orf100"
"1943","FEM1C"
"1944","DPAGT1"
"1945","OSTM1"
"1946","SIAE"
"1947","EGLN1"
"1948","CCNYL1"
"1949","E4F1"
"1950","TWSG1"
"1951","CCDC86"
"1952","C10orf25"
"1953","ARPC2"
"1954","CRTAP"
"1955","ZNF548"
"1956","C1orf198"
"1957","SRPK2"
"1958","FAM114A2"
"1959","MRPS9"
"1960","PRRG1"
"1961","COMMD7"
"1962","LTBP4"
"1963","MTUS1"
"1964","SNX16"
"1965","SLC37A3"
"1966","TARS"
"1967","RWDD2A"
"1968","DTYMK"
"1969","CCT5"
"1970","NMI"
"1971","CCT4"
"1972","FAM8A1"
"1973","DHDDS"
"1974","ANKRD13C"
"1975","TUBE1"
"1976","CNIH3"
"1977","CTAGE5"
"1978","DDX27"
"1979","HDDC2"
"1980","HSD17B4"
"1981","SH2D4A"
"1982","MUL1"
"1983","MRPS34"
"1984","STARD3"
"1985","RASGRP1"
"1986","LYPLA1"
"1987","DAXX"
"1988","AHI1"
"1989","SEPT10"
"1990","SERTAD3"
"1991","PHGDH"
"1992","ZNF574"
"1993","PEG3"
"1994","POP4"
"1995","RGN"
"1996","SAR1B"
"1997","HUS1"
"1998","RSU1"
"1999","IMPA1"
"2000","TELO2"
"2001","MARK1"
"2002","CREBZF"
"2003","C20orf24"
"2004","RRAS2"
"2005","ATP6V1A"
"2006","UBE2M"
"2007","SCAMP1"
"2008","PALLD"
"2009","BNIP3L"
"2010","PMPCB"
"2011","TBL3"
"2012","MYL12A"
"2013","ZNF148"
"2014","SERAC1"
"2015","NCOA6"
"2016","SPTLC2"
"2017","CRYAB"
"2018","TSC22D1"
"2019","PI4K2B"
"2020","FAM50A"
"2021","TP53I13"
"2022","LHPP"
"2023","RNF123"
"2024","EXOC5"
"2025","OGFOD1"
"2026","USP10"
"2027","ARPC1B"
"2028","SNX13"
"2029","BBS2"
"2030","MKRN2"
"2031","AHSA1"
"2032","BRK1"
"2033","JAK1"
"2034","GPX1"
"2035","STAC"
"2036","GALNT10"
"2037","HARS"
"2038","R3HDM4"
"2039","SLC4A1AP"
"2040","SLC25A12"
"2041","SLC7A11"
"2042","CRB2"
"2043","SLC4A2"
"2044","KCNN3"
"2045","TOR3A"
"2046","HIVEP3"
"2047","ARNTL"
"2048","SPATA2L"
"2049","SEH1L"
"2050","THAP11"
"2051","CORO1B"
"2052","TMEM25"
"2053","ZNF180"
"2054","NUDCD1"
"2055","KCTD21"
"2056","ETFA"
"2057","SDHB"
"2058","SLC33A1"
"2059","CHMP4A"
"2060","ATXN2L"
"2061","SKIV2L"
"2062","NUP62"
"2063","C21orf2"
"2064","RIOK3"
"2065","FAM172A"
"2066","TRIP11"
"2067","EIF2S1"
"2068","ADPRH"
"2069","ZNF577"
"2070","PTDSS1"
"2071","SDCBP2"
"2072","CUL4A"
"2073","PITHD1"
"2074","SGMS1"
"2075","DMD"
"2076","ARHGEF26"
"2077","STK35"
"2078","BRE"
"2079","PDLIM2"
"2080","P4HA2"
"2081","TSEN34"
"2082","PPIL4"
"2083","GPKOW"
"2084","FAM208A"
"2085","TSR1"
"2086","KIF1B"
"2087","CPSF3L"
"2088","TCEB1"
"2089","SF3B2"
"2090","UNC45A"
"2091","TMEM101"
"2092","ZNF576"
"2093","ALDH3A2"
"2094","TSN"
"2095","DIO2"
"2096","HGSNAT"
"2097","RNASEH1"
"2098","GAA"
"2099","HS3ST3B1"
"2100","MKKS"
"2101","SORBS3"
"2102","GNA13"
"2103","MPV17"
"2104","PEX2"
"2105","AKTIP"
"2106","CHURC1"
"2107","HS2ST1"
"2108","NES"
"2109","SUV39H1"
"2110","USP19"
"2111","TUBG2"
"2112","AEBP2"
"2113","PIGV"
"2114","CIAO1"
"2115","SORD"
"2116","POLR3E"
"2117","EFCAB11"
"2118","MRS2"
"2119","DVL2"
"2120","NDFIP2"
"2121","GCC2"
"2122","DUSP14"
"2123","QRSL1"
"2124","PLA2G5"
"2125","CKAP5"
"2126","DPH2"
"2127","RAB1A"
"2128","PTP4A3"
"2129","ANKRD40"
"2130","GABARAPL1"
"2131","PTCHD1"
"2132","BCAM"
"2133","FAM195A"
"2134","GPRASP2"
"2135","SRSF8"
"2136","SRP54"
"2137","CDC42SE2"
"2138","DAPK3"
"2139","THBS4"
"2140","TRIB1"
"2141","MVK"
"2142","QSOX1"
"2143","FUCA1"
"2144","ZBTB48"
"2145","SCD"
"2146","SMARCA1"
"2147","PDLIM7"
"2148","TMEM242"
"2149","BOLA3"
"2150","ECHDC2"
"2151","SLC1A5"
"2152","TGFB1I1"
"2153","GTF2H2"
"2154","C20orf194"
"2155","AGPAT2"
"2156","GSDMD"
"2157","ZNF700"
"2158","MARCH7"
"2159","BAG5"
"2160","SPAG16"
"2161","GATC"
"2162","RNASET2"
"2163","MRPS2"
"2164","PIGK"
"2165","MOB1A"
"2166","SLC35A2"
"2167","KIF3A"
"2168","YIPF6"
"2169","TPST2"
"2170","NIF3L1"
"2171","DNTTIP1"
"2172","OSGEP"
"2173","BRAP"
"2174","COPZ1"
"2175","RNF167"
"2176","RPL13A"
"2177","CLTA"
"2178","RBM38"
"2179","SYNJ2BP"
"2180","SYAP1"
"2181","CEBPD"
"2182","SUMO3"
"2183","COL4A1"
"2184","MMGT1"
"2185","SPPL2B"
"2186","VAV3"
"2187","DPP3"
"2188","ARL6IP6"
"2189","USE1"
"2190","SF3A3"
"2191","OSGIN2"
"2192","MBIP"
"2193","PRMT3"
"2194","AFG3L2"
"2195","TMEM106B"
"2196","XPC"
"2197","ZNF221"
"2198","EIF2AK2"
"2199","HDGF"
"2200","HDAC11"
"2201","SPG21"
"2202","PSMC2"
"2203","GLIS3"
"2204","CHCHD2"
"2205","MPP1"
"2206","PCYOX1"
"2207","UQCRC1"
"2208","C11orf49"
"2209","RB1CC1"
"2210","YIPF5"
"2211","DPP6"
"2212","EPS15L1"
"2213","LONRF1"
"2214","ARF1"
"2215","C1GALT1C1"
"2216","PARN"
"2217","CCDC51"
"2218","LIMS2"
"2219","ZNF584"
"2220","HNRNPF"
"2221","ATP2B4"
"2222","HUWE1"
"2223","NUDT16L1"
"2224","SEC14L2"
"2225","SYNGR2"
"2226","KIF5B"
"2227","COG8"
"2228","TNPO3"
"2229","CLN3"
"2230","MSTN"
"2231","ZNF524"
"2232","LYRM7"
"2233","SLC22A4"
"2234","ZNF436"
"2235","PDIA4"
"2236","TNFAIP6"
"2237","GFPT2"
"2238","ABLIM1"
"2239","TNPO2"
"2240","ZNHIT6"
"2241","ZNF622"
"2242","ANKRD35"
"2243","MAPRE3"
"2244","IPP"
"2245","PNRC1"
"2246","MMAB"
"2247","SOS2"
"2248","PDHB"
"2249","TRIP12"
"2250","FAF2"
"2251","ATG4C"
"2252","SLC25A32"
"2253","VCL"
"2254","NFE2L2"
"2255","KDM5A"
"2256","CYB561"
"2257","CROT"
"2258","DOK1"
"2259","CEBPB"
"2260","FGFRL1"
"2261","PHB"
"2262","ACSF3"
"2263","SLC15A4"
"2264","FNDC3A"
"2265","ATP1B3"
"2266","MCOLN1"
"2267","TMEM131"
"2268","ZNF606"
"2269","DNAJC5"
"2270","CHMP6"
"2271","ERI3"
"2272","GJA1"
"2273","SMARCAD1"
"2274","COQ7"
"2275","SESN1"
"2276","TBC1D13"
"2277","EIF3G"
"2278","MYO9B"
"2279","CCNI"
"2280","NUDT9"
"2281","LINC00472"
"2282","TLCD1"
"2283","C19orf18"
"2284","DDX23"
"2285","FDX1L"
"2286","JAKMIP2"
"2287","REEP6"
"2288","TMED2"
"2289","SHC1"
"2290","PIGG"
"2291","RARS"
"2292","BIN3"
"2293","EIF2B1"
"2294","LYRM5"
"2295","RABEP1"
"2296","ABCF3"
"2297","NSUN5"
"2298","THTPA"
"2299","PQLC2"
"2300","ANGPT2"
"2301","LYSMD2"
"2302","CASQ1"
"2303","UBAC2"
"2304","ANKRD42"
"2305","ARPC1A"
"2306","C11orf24"
"2307","TWF1"
"2308","HERC3"
"2309","ATP6V1D"
"2310","PPP1R3G"
"2311","ZC3H18"
"2312","C12orf49"
"2313","DICER1"
"2314","ARF3"
"2315","KPTN"
"2316","ZCCHC17"
"2317","KLF9"
"2318","CAST"
"2319","CHCHD4"
"2320","ABHD13"
"2321","TCN2"
"2322","ITGA6"
"2323","DNAL4"
"2324","SPAG7"
"2325","VAMP2"
"2326","HDHD3"
"2327","NCKAP1"
"2328","ERAL1"
"2329","OSBPL2"
"2330","RGS20"
"2331","RPS6KC1"
"2332","RELL2"
"2333","LTB"
"2334","FAR2"
"2335","RANBP1"
"2336","MGAT4B"
"2337","MTDH"
"2338","TMEM231"
"2339","DCTPP1"
"2340","MAPK3"
"2341","CYHR1"
"2342","PEX12"
"2343","SLC31A1"
"2344","UPF1"
"2345","PREB"
"2346","SLC38A6"
"2347","CCNC"
"2348","PLEKHG1"
"2349","ENO1"
"2350","ARHGEF1"
"2351","SIL1"
"2352","MYD88"
"2353","KHK"
"2354","KIAA1191"
"2355","AXL"
"2356","C6orf47"
"2357","DCP1A"
"2358","NSUN3"
"2359","SEC61G"
"2360","ZBTB47"
"2361","TDP1"
"2362","JAGN1"
"2363","SLC25A46"
"2364","DIABLO"
"2365","AFAP1L1"
"2366","TF"
"2367","VASN"
"2368","ZNHIT2"
"2369","CAMLG"
"2370","RSL1D1"
"2371","SPTSSB"
"2372","RNF215"
"2373","FREM1"
"2374","TUBB4B"
"2375","SLC30A5"
"2376","MEA1"
"2377","ANAPC13"
"2378","ANAPC5"
"2379","ITPKC"
"2380","PLA2G4A"
"2381","TTC38"
"2382","STK11"
"2383","STX3"
"2384","GBP3"
"2385","TTBK2"
"2386","CUTA"
"2387","BAD"
"2388","SEC23A"
"2389","UGCG"
"2390","GMNN"
"2391","SEMA6D"
"2392","RBM47"
"2393","NAPG"
"2394","NKAPL"
"2395","TXN2"
"2396","CERS4"
"2397","C3orf18"
"2398","THOC6"
"2399","PIM3"
"2400","MYBPC1"
"2401","ZNF131"
"2402","PIGO"
"2403","ZNF692"
"2404","ZNF419"
"2405","IRF2BP2"
"2406","FUT8"
"2407","MFSD8"
"2408","HGD"
"2409","MAGEF1"
"2410","WDR24"
"2411","NRG2"
"2412","CTPS2"
"2413","RNPS1"
"2414","MAMLD1"
"2415","RALB"
"2416","TMEM91"
"2417","PSEN2"
"2418","VKORC1"
"2419","VLDLR"
"2420","PGPEP1"
"2421","KTN1-AS1"
"2422","RBM19"
"2423","GPATCH1"
"2424","ARL13B"
"2425","GPR137B"
"2426","RPE65"
"2427","WDR74"
"2428","DHX58"
"2429","CCDC124"
"2430","PEX11B"
"2431","TMEM184B"
"2432","AGK"
"2433","OAZ1"
"2434","TMEM38B"
"2435","ARSI"
"2436","ACBD5"
"2437","ABHD10"
"2438","FLNA"
"2439","SPTBN4"
"2440","NTHL1"
"2441","BLZF1"
"2442","C1orf43"
"2443","GYS1"
"2444","UBL7"
"2445","ARRDC1"
"2446","TLN1"
"2447","UBA5"
"2448","TMED1"
"2449","SAMHD1"
"2450","NSUN2"
"2451","TP53AIP1"
"2452","PAIP1"
"2453","MYC"
"2454","GALE"
"2455","NME3"
"2456","FBXW2"
"2457","DCTN6"
"2458","CAMK2N1"
"2459","MVD"
"2460","HDAC3"
"2461","C2orf88"
"2462","ISG20"
"2463","FOXRED1"
"2464","WWTR1"
"2465","COX11"
"2466","ZNF512"
"2467","SMU1"
"2468","TRIM16"
"2469","DCLK1"
"2470","ACAT1"
"2471","SMARCAL1"
"2472","NFKBIA"
"2473","UMPS"
"2474","PARP1"
"2475","TMEM128"
"2476","GPN2"
"2477","PPME1"
"2478","ZFP90"
"2479","IL12A"
"2480","SLC25A37"
"2481","SFXN1"
"2482","CD302"
"2483","IPO4"
"2484","PRPSAP2"
"2485","SCPEP1"
"2486","HSD17B11"
"2487","KPNA1"
"2488","CDK5RAP3"
"2489","FASTKD5"
"2490","ATG3"
"2491","ZIK1"
"2492","CASP7"
"2493","ERF"
"2494","EEPD1"
"2495","KCNJ14"
"2496","VASP"
"2497","GNAI3"
"2498","KLF10"
"2499","SLC10A7"
"2500","SULT2B1"
"2501","ASNSD1"
"2502","CPNE3"
"2503","EFHC1"
"2504","MPI"
"2505","CTSH"
"2506","DNAJC21"
"2507","PMPCA"
"2508","CENPT"
"2509","ZKSCAN5"
"2510","RBM18"
"2511","RALBP1"
"2512","CRBN"
"2513","RHOG"
"2514","USP8"
"2515","WIPI1"
"2516","AKR7A2"
"2517","KAZN"
"2518","MTCH2"
"2519","PGM3"
"2520","KPNA3"
"2521","ATG7"
"2522","RAVER1"
"2523","MRPL38"
"2524","TBCK"
"2525","SRSF4"
"2526","HRAS"
"2527","SEC13"
"2528","PITX1"
"2529","ZNF639"
"2530","NCOR1"
"2531","MFAP3L"
"2532","TPCN1"
"2533","NXF1"
"2534","SRCAP"
"2535","CALD1"
"2536","MLXIP"
"2537","ANKRD9"
"2538","DKC1"
"2539","PKIG"
"2540","NRP2"
"2541","RAB14"
