"","population","fc","mean.p","mean.np","pval","p.adj","gene"
"NOL9","PRNP_negative_cells",0.0926906768552092,0.269709032966773,0.177018356111564,1.43698777149821e-58,1.4458970956815e-54,"NOL9"
"ZBTB48","PRNP_negative_cells",0.000397951423004889,0.173044729386029,0.172646777963025,1.25555211639131e-113,1.26333653951293e-109,"ZBTB48"
"KLHL21","PRNP_negative_cells",0.114236740228205,0.326778387737295,0.21254164750909,7.9519355596928e-68,8.00123756016289e-64,"KLHL21"
"PHF13","PRNP_negative_cells",0.0623890964426313,0.242411146583861,0.18002205014123,2.86670434638932e-66,2.88447791333694e-62,"PHF13"
"THAP3","PRNP_positive_cells",0.015684226368244,0.290433678212406,0.274749451844162,1.23052111949726e-147,1.23815035043814e-143,"THAP3"
"DNAJC11","PRNP_negative_cells",0.0547774720756049,0.169795153441669,0.115017681366064,3.79946641689661e-48,3.82302310868136e-44,"DNAJC11"
"CAMTA1","PRNP_positive_cells",0.0268045212405479,1.7573081010708,1.73050357983025,7.47864462242087e-140,7.52501221907988e-136,"CAMTA1"
"VAMP3","PRNP_positive_cells",0.237436585718804,0.942621781548419,0.705185195829615,0,0,"VAMP3"
"PARK7","PRNP_positive_cells",0.202112140744904,2.58440818632753,2.38229604558263,1.10476134430728e-130,1.11161086464199e-126,"PARK7"
"ERRFI1","PRNP_negative_cells",0.0304510650120164,0.279955270279635,0.249504205267619,6.5319522625776e-99,6.57245036660558e-95,"ERRFI1"
"SLC45A1","PRNP_positive_cells",0.0315872603219421,0.0926592409187372,0.0610719805967951,8.11751484989893e-79,8.1678434419683e-75,"SLC45A1"
"RERE","PRNP_negative_cells",0.367239151683131,0.750794561004992,0.383555409321861,1.79178243735429e-53,1.80289148846589e-49,"RERE"
"ENO1","PRNP_positive_cells",0.279480596881486,3.39780068384853,3.11832008696704,1.04786376074407e-126,1.05436051606068e-122,"ENO1"
"H6PD","PRNP_negative_cells",0.0739507904041635,0.267400536991417,0.193449746587253,3.77345043050541e-75,3.79684582317454e-71,"H6PD"
"SPSB1","PRNP_positive_cells",0.0160171555195289,0.171759821371418,0.155742665851889,8.79754872777569e-71,8.85209352988789e-67,"SPSB1"
"SLC25A33","PRNP_positive_cells",0.152833206278538,0.681363430463585,0.528530224185047,4.58156139492808e-300,4.60996707557663e-296,"SLC25A33"
"CLSTN1","PRNP_negative_cells",0.152939470596396,0.951148350523159,0.798208879926763,1.22380206610079e-176,1.23138963891062e-172,"CLSTN1"
"CTNNBIP1","PRNP_positive_cells",0.0138481539947617,0.412010162574627,0.398162008579865,2.17881459035232e-205,2.1923232408125e-201,"CTNNBIP1"
"LZIC","PRNP_positive_cells",0.0704258413624067,0.44809115109872,0.377665309736313,4.34779905601381e-210,4.37475541016109e-206,"LZIC"
"NMNAT1","PRNP_positive_cells",0.0166698190392004,0.194920037093996,0.178250218054795,1.68419443918643e-136,1.69463644470939e-132,"NMNAT1"
"UBE4B","PRNP_negative_cells",0.128546024229814,0.258767933553075,0.130221909323262,1.52900507472952e-32,1.53848490619285e-28,"UBE4B"
"KIF1B","PRNP_negative_cells",0.353288823440384,1.27688987658733,0.923601053146942,6.16124014050622e-99,6.19943982937736e-95,"KIF1B"
"PGD","PRNP_negative_cells",0.086342934954845,0.61866835995895,0.532325425004105,6.79916722579249e-178,6.84132206259241e-174,"PGD"
"APITD1","PRNP_negative_cells",0.0590644517806135,0.293194769631301,0.234130317850687,4.26121522968547e-90,4.28763476410952e-86,"APITD1"
"DFFA","PRNP_negative_cells",0.00561880689393723,0.52389903294899,0.518280226055053,1.48367635168117e-202,1.49287514506159e-198,"DFFA"
"PEX14","PRNP_negative_cells",0.0102535885287664,0.201543173283431,0.191289584754664,2.93377269913177e-113,2.95196208986638e-109,"PEX14"
"TARDBP","PRNP_negative_cells",0.123504258430212,0.840415316947561,0.716911058517349,3.81806327585503e-172,3.84173526816533e-168,"TARDBP"
"SRM","PRNP_positive_cells",0.245696615747081,1.01723426245043,0.771537646703349,0,0,"SRM"
"EXOSC10","PRNP_negative_cells",0.0174377145333048,0.233058885252787,0.215621170719482,1.05201974771772e-103,1.05854227015357e-99,"EXOSC10"
"UBIAD1","PRNP_positive_cells",0.0297034131458815,0.228915715881913,0.199212302736031,7.84912473704725e-133,7.89778931041695e-129,"UBIAD1"
"FBXO2","PRNP_positive_cells",0.00980124607501592,0.129609773317917,0.119808527242901,1.06827772252889e-83,1.07490104440857e-79,"FBXO2"
"FBXO44","PRNP_positive_cells",0.0706803757301979,0.370141103174242,0.299460727444044,5.27944216707611e-202,5.31217470851198e-198,"FBXO44"
"FBXO6","PRNP_positive_cells",0.0336710247507958,0.21070852365678,0.177037498905984,4.68850202247868e-136,4.71757073501805e-132,"FBXO6"
"MAD2L2","PRNP_negative_cells",0.0852052004819992,0.76856054565272,0.683355345170721,4.36038705456282e-189,4.38742145430111e-185,"MAD2L2"
