"","gene1","gene2","correlation","pvalue","status"
"12057","PRNP","RP13-131K19.6",0.013641749501676,0.125704485326094,"Non-significant"
"12058","PRNP","CFAP73",0.0136388055452918,0.125786151463048,"Non-significant"
"12059","PRNP","CTD-2532N20.1",0.0136369590536944,0.125837394720868,"Non-significant"
"12060","PRNP","PDS5A",0.0136336487086543,0.125929303089201,"Non-significant"
"12061","PRNP","SMIM13",0.0136325008904943,0.125961183299667,"Non-significant"
"12062","PRNP","TMEM39B",0.0136277626261208,0.126092853320449,"Non-significant"
"12063","PRNP","C22orf46",0.0136206436516764,0.126290881560672,"Non-significant"
"12064","PRNP","ZNF35",0.0136171217042359,0.126388940933639,"Non-significant"
"12065","PRNP","MAPT-AS1",0.0136156497149263,0.126429942169878,"Non-significant"
"12066","PRNP","NR3C1",0.0136083139329791,0.126634429681277,"Non-significant"
"12067","PRNP","NUTM2A-AS1",0.0136057383065375,0.126706287210765,"Non-significant"
"12068","PRNP","RP5-906C1.1",0.0135938940863561,0.127037138318936,"Non-significant"
"12069","PRNP","PANX1",0.0135910994387632,0.127115300679426,"Non-significant"
"12070","PRNP","TBC1D10A",0.0135893383170762,0.12716457599161,"Non-significant"
"12071","PRNP","NXPE3",0.0135798868337824,0.127429277754066,"Non-significant"
"12072","PRNP","PLXDC1",0.0135784098284718,0.127470682009745,"Non-significant"
"12073","PRNP","LYG2",0.0135730299501637,0.12762158230694,"Non-significant"
"12074","PRNP","NSMAF",0.0135615491137551,0.127944073045904,"Non-significant"
"12075","PRNP","RUNDC3B",0.0135571091405607,0.128068959352474,"Non-significant"
"12076","PRNP","PTPRS",0.0135565108419681,0.128085795368746,"Non-significant"
"12077","PRNP","DFNB59",0.0135395948672315,0.128562520301747,"Non-significant"
"12078","PRNP","AANAT",0.0135377030580716,0.128615920758158,"Non-significant"
"12079","PRNP","SLC25A19",0.0135354887859759,0.128678445327934,"Non-significant"
"12080","PRNP","HIPK3",0.0135340072338091,0.128720293215201,"Non-significant"
"12081","PRNP","ZNF660",0.0135315723058696,0.128789093101286,"Non-significant"
"12082","PRNP","RP11-61J19.3",0.0135274212371857,0.128906449113016,"Non-significant"
"12083","PRNP","RP11-258C19.7",0.01351675515428,0.129208373865579,"Non-significant"
"12084","PRNP","RP11-1000B6.8",0.0135077698995755,0.129463145390378,"Non-significant"
"12085","PRNP","RP5-967N21.11",0.0135077302233665,0.129464271249938,"Non-significant"
"12086","PRNP","CARNMT1",0.0135051945532883,0.129536239669795,"Non-significant"
"12087","PRNP","UCN",0.013504257710698,0.12956283737422,"Non-significant"
"12088","PRNP","TRIM62",0.0135028644461771,0.129602401101161,"Non-significant"
"12089","PRNP","MAP1LC3C",0.0134928071495877,0.129888270619164,"Non-significant"
"12090","PRNP","XYLT1",0.0134839541906165,0.130140312739252,"Non-significant"
"12091","PRNP","MAMDC4",0.0134798000518292,0.130258711059281,"Non-significant"
"12092","PRNP","KREMEN1",0.0134728334668028,0.130457455318851,"Non-significant"
"12093","PRNP","ZNF707",0.0134655383189198,0.130665824959133,"Non-significant"
