"","correlation","pvalue","tumor","stage","process"
"coated vesicle62","-0.107142857142857","0.819150855569991","READ","IIIA","coated vesicle"
"endocytic vesicle62","0.285714285714286","0.534509228601041","READ","IIIA","endocytic vesicle"
"phagocytic vesicle62","0.25","0.588724448089683","READ","IIIA","phagocytic vesicle"
"secretory vesicle62","0.285714285714286","0.534509228601041","READ","IIIA","secretory vesicle"
"vesicle cytoskeletal trafficking62","0.25","0.588724448089683","READ","IIIA","vesicle cytoskeletal trafficking"
"exocytosis62","0.285714285714286","0.534509228601041","READ","IIIA","exocytosis"
"endocytosis62","0.571428571428571","0.180201988911528","READ","IIIA","endocytosis"
"secretion62","0.464285714285714","0.293934107600252","READ","IIIA","secretion"
"intracellular transport62","0.25","0.588724448089683","READ","IIIA","intracellular transport"
"intracellular protein transport62","0.142857142857143","0.759945300218093","READ","IIIA","intracellular protein transport"
"transport along microtubule62","0.25","0.588724448089683","READ","IIIA","transport along microtubule"
"vesicle lumen62","0.142857142857143","0.759945300218093","READ","IIIA","vesicle lumen"
"vesicle membrane62","0.464285714285714","0.293934107600252","READ","IIIA","vesicle membrane"
"vesicle organization62","0.107142857142857","0.819150855569991","READ","IIIA","vesicle organization"
"vesicle targeting62","0.214285714285714","0.64451158102072","READ","IIIA","vesicle targeting"
"vesicle docking62","-0.142857142857143","0.759945300218093","READ","IIIA","vesicle docking"
"clathrin coated vesicle62","0.214285714285714","0.64451158102072","READ","IIIA","clathrin coated vesicle"
"copi coated vesicle62","-0.321428571428571","0.482072038299678","READ","IIIA","copi coated vesicle"
"vesicle tethering62","0.142857142857143","0.759945300218093","READ","IIIA","vesicle tethering"
"intercellular transport62","-0.678571428571429","0.0937502539598314","READ","IIIA","intercellular transport"
"regulation of vesicle fusion62","0.571428571428571","0.180201988911528","READ","IIIA","regulation of vesicle fusion"
"coated vesicle72","-0.2","0.747060078104662","READ","III","coated vesicle"
"endocytic vesicle72","-0.7","0.188120404374187","READ","III","endocytic vesicle"
"phagocytic vesicle72","-0.7","0.188120404374187","READ","III","phagocytic vesicle"
"secretory vesicle72","-0.9","0.0373860734684985","READ","III","secretory vesicle"
"vesicle cytoskeletal trafficking72","-0.5","0.39100221895577","READ","III","vesicle cytoskeletal trafficking"
"exocytosis72","-0.4","0.504631575468691","READ","III","exocytosis"
"endocytosis72","-0.6","0.284756979865294","READ","III","endocytosis"
"secretion72","-0.8","0.104088038661828","READ","III","secretion"
"intracellular transport72","-0.3","0.623837664781073","READ","III","intracellular transport"
"intracellular protein transport72","-0.1","0.872888571569538","READ","III","intracellular protein transport"
"transport along microtubule72","0.6","0.284756979865294","READ","III","transport along microtubule"
"vesicle lumen72","-0.7","0.188120404374187","READ","III","vesicle lumen"
"vesicle membrane72","-0.7","0.188120404374187","READ","III","vesicle membrane"
"vesicle organization72","-0.6","0.284756979865294","READ","III","vesicle organization"
"vesicle targeting72","-0.5","0.39100221895577","READ","III","vesicle targeting"
"vesicle docking72","0.2","0.747060078104662","READ","III","vesicle docking"
"clathrin coated vesicle72","-0.3","0.623837664781073","READ","III","clathrin coated vesicle"
"copi coated vesicle72","-0.2","0.747060078104662","READ","III","copi coated vesicle"
"vesicle tethering72","0.2","0.747060078104662","READ","III","vesicle tethering"
"intercellular transport72","-0.9","0.0373860734684985","READ","III","intercellular transport"
"regulation of vesicle fusion72","-0.5","0.39100221895577","READ","III","regulation of vesicle fusion"
"coated vesicle82","0.652747252747253","0.0113845739979541","READ","IIIC","coated vesicle"
"endocytic vesicle82","0.643956043956044","0.012942152559323","READ","IIIC","endocytic vesicle"
"phagocytic vesicle82","0.569230769230769","0.0336194170772703","READ","IIIC","phagocytic vesicle"
"secretory vesicle82","0.498901098901099","0.0693635273971549","READ","IIIC","secretory vesicle"
"vesicle cytoskeletal trafficking82","0.446153846153846","0.109807127801225","READ","IIIC","vesicle cytoskeletal trafficking"
"exocytosis82","0.802197802197802","0.000556305612792407","READ","IIIC","exocytosis"
"endocytosis82","0.723076923076923","0.00347529461809426","READ","IIIC","endocytosis"
"secretion82","0.665934065934066","0.00932299909684176","READ","IIIC","secretion"
"intracellular transport82","0.468131868131868","0.0913763650683312","READ","IIIC","intracellular transport"
"intracellular protein transport82","0.336263736263736","0.239792202257253","READ","IIIC","intracellular protein transport"
"transport along microtubule82","0.595604395604396","0.0246126107952869","READ","IIIC","transport along microtubule"
"vesicle lumen82","0.257142857142857","0.37481190387997","READ","IIIC","vesicle lumen"
"vesicle membrane82","0.578021978021978","0.030383014145237","READ","IIIC","vesicle membrane"
"vesicle organization82","0.692307692307692","0.0060710487499902","READ","IIIC","vesicle organization"
"vesicle targeting82","0.274725274725275","0.341829743719481","READ","IIIC","vesicle targeting"
"vesicle docking82","0.714285714285714","0.00410440916188026","READ","IIIC","vesicle docking"
"clathrin coated vesicle82","0.731868131868132","0.00292463094681183","READ","IIIC","clathrin coated vesicle"
"copi coated vesicle82","0.191208791208791","0.512583970470778","READ","IIIC","copi coated vesicle"
"vesicle tethering82","0.494505494505495","0.0722496740341327","READ","IIIC","vesicle tethering"
"intercellular transport82","0.00659340659340659","0.98215273545779","READ","IIIC","intercellular transport"
"regulation of vesicle fusion82","0.454945054945055","0.102153526691829","READ","IIIC","regulation of vesicle fusion"
"coated vesicle15","0.13098351504163","0.00331245742129904","PRAD",NA,"coated vesicle"
"endocytic vesicle15","0.595467137438271","0","PRAD",NA,"endocytic vesicle"
"phagocytic vesicle15","0.513350478326216","0","PRAD",NA,"phagocytic vesicle"
"secretory vesicle15","0.475928620845957","0","PRAD",NA,"secretory vesicle"
"vesicle cytoskeletal trafficking15","0.193415845599637","1.30268932687638e-05","PRAD",NA,"vesicle cytoskeletal trafficking"
"exocytosis15","0.548528282081256","0","PRAD",NA,"exocytosis"
"endocytosis15","0.622628814084977","0","PRAD",NA,"endocytosis"
"secretion15","0.59986287186583","0","PRAD",NA,"secretion"
"intracellular transport15","0.0623089438652575","0.163761186249441","PRAD",NA,"intracellular transport"
"intracellular protein transport15","0.0271743683946847","0.543958802854649","PRAD",NA,"intracellular protein transport"
"transport along microtubule15","0.232085216022139","1.49076358146871e-07","PRAD",NA,"transport along microtubule"
"vesicle lumen15","0.386525085287592","0","PRAD",NA,"vesicle lumen"
"vesicle membrane15","0.48029238733688","0","PRAD",NA,"vesicle membrane"
"vesicle organization15","0.320024047522485","2.1493917756743e-13","PRAD",NA,"vesicle organization"
"vesicle targeting15","-0.232206026194623","1.46815910317954e-07","PRAD",NA,"vesicle targeting"
"vesicle docking15","0.389995085526159","0","PRAD",NA,"vesicle docking"
"clathrin coated vesicle15","0.322706300546318","1.31894495325469e-13","PRAD",NA,"clathrin coated vesicle"
"copi coated vesicle15","-0.238488059737099","6.55706346996965e-08","PRAD",NA,"copi coated vesicle"
"vesicle tethering15","-0.0623337548011547","0.163593137465533","PRAD",NA,"vesicle tethering"
"intercellular transport15","0.236114416585156","8.91536133806881e-08","PRAD",NA,"intercellular transport"
"regulation of vesicle fusion15","0.502647994846959","0","PRAD",NA,"regulation of vesicle fusion"
"coated vesicle16","0.3","0.623837664781073","LUAD","I","coated vesicle"
"endocytic vesicle16","0.6","0.284756979865294","LUAD","I","endocytic vesicle"
"phagocytic vesicle16","0.6","0.284756979865294","LUAD","I","phagocytic vesicle"
"secretory vesicle16","0.7","0.188120404374187","LUAD","I","secretory vesicle"
"vesicle cytoskeletal trafficking16","0.6","0.284756979865294","LUAD","I","vesicle cytoskeletal trafficking"
"exocytosis16","0.7","0.188120404374187","LUAD","I","exocytosis"
"endocytosis16","0.6","0.284756979865294","LUAD","I","endocytosis"
"secretion16","0.6","0.284756979865294","LUAD","I","secretion"
"intracellular transport16","0.3","0.623837664781073","LUAD","I","intracellular transport"
"intracellular protein transport16","-0.1","0.872888571569538","LUAD","I","intracellular protein transport"
"transport along microtubule16","0.7","0.188120404374187","LUAD","I","transport along microtubule"
"vesicle lumen16","0.5","0.39100221895577","LUAD","I","vesicle lumen"
"vesicle membrane16","0.6","0.284756979865294","LUAD","I","vesicle membrane"
"vesicle organization16","0.3","0.623837664781073","LUAD","I","vesicle organization"
"vesicle targeting16","0.1","0.872888571569538","LUAD","I","vesicle targeting"
"vesicle docking16","0","1","LUAD","I","vesicle docking"
"clathrin coated vesicle16","0.6","0.284756979865294","LUAD","I","clathrin coated vesicle"
"copi coated vesicle16","0","1","LUAD","I","copi coated vesicle"
"vesicle tethering16","0","1","LUAD","I","vesicle tethering"
"intercellular transport16","0.4","0.504631575468691","LUAD","I","intercellular transport"
"regulation of vesicle fusion16","0.5","0.39100221895577","LUAD","I","regulation of vesicle fusion"
"coated vesicle17","0.163897548864039","0.0556512856663398","LUAD","IA","coated vesicle"
"endocytic vesicle17","0.362475964679747","1.34429602764996e-05","LUAD","IA","endocytic vesicle"
"phagocytic vesicle17","0.427413332835514","1.89810758222109e-07","LUAD","IA","phagocytic vesicle"
"secretory vesicle17","0.289394589952769","0.000603721592815631","LUAD","IA","secretory vesicle"
"vesicle cytoskeletal trafficking17","0.00762596374633636","0.929524548636901","LUAD","IA","vesicle cytoskeletal trafficking"
"exocytosis17","0.326138294098979","0.00010054771620438","LUAD","IA","exocytosis"
"endocytosis17","0.328065786771706","9.09271152051971e-05","LUAD","IA","endocytosis"
"secretion17","0.246961748837904","0.00362202676011347","LUAD","IA","secretion"
"intracellular transport17","0.00265088580656001","0.975474036471063","LUAD","IA","intracellular transport"
"intracellular protein transport17","-0.00447570332480818","0.958602779376276","LUAD","IA","intracellular protein transport"
"transport along microtubule17","0.0422368249108593","0.624092556408339","LUAD","IA","transport along microtubule"
"vesicle lumen17","0.169689360987175","0.0474383571361954","LUAD","IA","vesicle lumen"
"vesicle membrane17","0.329979278287005","8.22324045435252e-05","LUAD","IA","vesicle membrane"
"vesicle organization17","0.26799615434876","0.00154445375204348","LUAD","IA","vesicle organization"
"vesicle targeting17","-0.0572600668321915","0.506295750070533","LUAD","IA","vesicle targeting"
"vesicle docking17","0.218310713685665","0.0103820141402209","LUAD","IA","vesicle docking"
"clathrin coated vesicle17","0.265961319469076","0.00168228297314243","LUAD","IA","clathrin coated vesicle"
"copi coated vesicle17","-0.222954430899621","0.00882519303760332","LUAD","IA","copi coated vesicle"
"vesicle tethering17","0.188987622976833","0.0269842098716193","LUAD","IA","vesicle tethering"
"intercellular transport17","0.189463662329419","0.0265943830792517","LUAD","IA","intercellular transport"
"regulation of vesicle fusion17","0.227173446338231","0.00759344539917128","LUAD","IA","regulation of vesicle fusion"
"coated vesicle23","0.275515241268666","0.0183127989687581","LUAD","IIIA","coated vesicle"
"endocytic vesicle23","0.330278909046032","0.00432066190946134","LUAD","IIIA","endocytic vesicle"
"phagocytic vesicle23","0.367610761446378","0.00137675623873657","LUAD","IIIA","phagocytic vesicle"
"secretory vesicle23","0.273262989016414","0.0193264516751772","LUAD","IIIA","secretory vesicle"
"vesicle cytoskeletal trafficking23","0.163735653461681","0.166305266310681","LUAD","IIIA","vesicle cytoskeletal trafficking"
"exocytosis23","0.248179686535851","0.0342519078486989","LUAD","IIIA","exocytosis"
"endocytosis23","0.257404664938912","0.027913704513401","LUAD","IIIA","endocytosis"
"secretion23","0.141367394792052","0.232869885500531","LUAD","IIIA","secretion"
"intracellular transport23","0.20097494755029","0.0882062247899349","LUAD","IIIA","intracellular transport"
"intracellular protein transport23","0.222664445267185","0.0582973399028486","LUAD","IIIA","intracellular protein transport"
"transport along microtubule23","0.258885597926694","0.0269947352596611","LUAD","IIIA","transport along microtubule"
"vesicle lumen23","0.252838454893249","0.030914968386571","LUAD","IIIA","vesicle lumen"
"vesicle membrane23","0.300629396519807","0.00975696815780136","LUAD","IIIA","vesicle membrane"
"vesicle organization23","0.209860545476984","0.0747487126737676","LUAD","IIIA","vesicle organization"
"vesicle targeting23","0.0786745649759348","0.508214476690184","LUAD","IIIA","vesicle targeting"
"vesicle docking23","0.303930642971739","0.00894581104218362","LUAD","IIIA","vesicle docking"
"clathrin coated vesicle23","0.326082932247316","0.00487226656279516","LUAD","IIIA","clathrin coated vesicle"
"copi coated vesicle23","0.079723559175614","0.502558147969602","LUAD","IIIA","copi coated vesicle"
"vesicle tethering23","0.279340984820437","0.0166952720079721","LUAD","IIIA","vesicle tethering"
"intercellular transport23","0.386307540417129","0.000736256203474284","LUAD","IIIA","intercellular transport"
"regulation of vesicle fusion23","0.250493644329261","0.0325586549300001","LUAD","IIIA","regulation of vesicle fusion"
"coated vesicle33","0.236232291959846","0.00328429899582394","LUAD","IB","coated vesicle"
"endocytic vesicle33","0.398080763405841","3.47233904518518e-07","LUAD","IB","endocytic vesicle"
"phagocytic vesicle33","0.430494685912643","2.78843974577114e-08","LUAD","IB","phagocytic vesicle"
"secretory vesicle33","0.305161298969349","0.000125267227498949","LUAD","IB","secretory vesicle"
"vesicle cytoskeletal trafficking33","0.212456274375779","0.00837519338855941","LUAD","IB","vesicle cytoskeletal trafficking"
"exocytosis33","0.345908219747229","1.18935390989172e-05","LUAD","IB","exocytosis"
"endocytosis33","0.368605336871591","2.75676498406874e-06","LUAD","IB","endocytosis"
"secretion33","0.290338144827309","0.000272030326969652","LUAD","IB","secretion"
"intracellular transport33","0.117670513181349","0.147447878886577","LUAD","IB","intracellular transport"
"intracellular protein transport33","0.127956924396553","0.114968989828691","LUAD","IB","intracellular protein transport"
"transport along microtubule33","0.122468604666747","0.131525643939904","LUAD","IB","transport along microtubule"
"vesicle lumen33","0.260842614557785","0.00112774750339817","LUAD","IB","vesicle lumen"
"vesicle membrane33","0.357521477490518","5.70869715454947e-06","LUAD","IB","vesicle membrane"
"vesicle organization33","0.281127283449265","0.000431384172523641","LUAD","IB","vesicle organization"
"vesicle targeting33","-0.00145417018482034","0.985766820049813","LUAD","IB","vesicle targeting"
"vesicle docking33","0.248807178373742","0.00192701953145846","LUAD","IB","vesicle docking"
"clathrin coated vesicle33","0.300527387988688","0.000160350449270652","LUAD","IB","clathrin coated vesicle"
"copi coated vesicle33","-0.0613867556592015","0.450971399542461","LUAD","IB","copi coated vesicle"
"vesicle tethering33","0.0810549100022784","0.319244448749639","LUAD","IB","vesicle tethering"
"intercellular transport33","0.238869231903288","0.00294340110979974","LUAD","IB","intercellular transport"
"regulation of vesicle fusion33","0.248666452226824","0.00193884123316446","LUAD","IB","regulation of vesicle fusion"
"coated vesicle43","0.380744297719088","0.00637681736518592","LUAD","IIA","coated vesicle"
"endocytic vesicle43","0.616038415366146","1.91410501315659e-06","LUAD","IIA","endocytic vesicle"
"phagocytic vesicle43","0.634189675870348","7.6232682433286e-07","LUAD","IIA","phagocytic vesicle"
"secretory vesicle43","0.532484993997599","6.87995079162729e-05","LUAD","IIA","secretory vesicle"
"vesicle cytoskeletal trafficking43","0.142665066026411","0.322983015978523","LUAD","IIA","vesicle cytoskeletal trafficking"
"exocytosis43","0.494741896758704","0.00025997003729783","LUAD","IIA","exocytosis"
"endocytosis43","0.536806722689076","5.84831051217982e-05","LUAD","IIA","endocytosis"
"secretion43","0.399087635054022","0.00409255369014438","LUAD","IIA","secretion"
"intracellular transport43","0.199423769507803","0.1649956828907","LUAD","IIA","intracellular transport"
"intracellular protein transport43","0.189243697478992","0.188093721296982","LUAD","IIA","intracellular protein transport"
"transport along microtubule43","0.120864345738295","0.403101442759497","LUAD","IIA","transport along microtubule"
"vesicle lumen43","0.466794717887155","0.000632707076687389","LUAD","IIA","vesicle lumen"
"vesicle membrane43","0.569555822328932","1.58344813550038e-05","LUAD","IIA","vesicle membrane"
"vesicle organization43","0.451332533013205","0.00100282779241923","LUAD","IIA","vesicle organization"
"vesicle targeting43","-0.198847539015606","0.16624514388599","LUAD","IIA","vesicle targeting"
"vesicle docking43","0.419543817527011","0.00242236492956716","LUAD","IIA","vesicle docking"
"clathrin coated vesicle43","0.525282112845138","8.97565749382601e-05","LUAD","IIA","clathrin coated vesicle"
"copi coated vesicle43","0.0153181272509004","0.915913979094715","LUAD","IIA","copi coated vesicle"
"vesicle tethering43","0.239279711884754","0.0942136096647426","LUAD","IIA","vesicle tethering"
"intercellular transport43","0.25656662665066","0.0720894980982898","LUAD","IIA","intercellular transport"
"regulation of vesicle fusion43","0.336662665066026","0.0168209195619324","LUAD","IIA","regulation of vesicle fusion"
"coated vesicle53","0.522051282051282","0.00622692694591898","LUAD","IV","coated vesicle"
"endocytic vesicle53","0.785299145299145","2.01812849009997e-06","LUAD","IV","endocytic vesicle"
"phagocytic vesicle53","0.771623931623932","3.92133584092846e-06","LUAD","IV","phagocytic vesicle"
"secretory vesicle53","0.67042735042735","0.000178526210614427","LUAD","IV","secretory vesicle"
"vesicle cytoskeletal trafficking53","0.318290598290598","0.113038649066355","LUAD","IV","vesicle cytoskeletal trafficking"
"exocytosis53","0.599316239316239","0.00121444229662693","LUAD","IV","exocytosis"
"endocytosis53","0.739487179487179","1.58648747501378e-05","LUAD","IV","endocytosis"
"secretion53","0.64991452991453","0.000326222439120505","LUAD","IV","secretion"
"intracellular transport53","0.197264957264957","0.334081767859872","LUAD","IV","intracellular transport"
"intracellular protein transport53","0.23965811965812","0.238317376257114","LUAD","IV","intracellular protein transport"
"transport along microtubule53","-0.0242735042735043","0.906304667557114","LUAD","IV","transport along microtubule"
"vesicle lumen53","0.612307692307692","0.000885072507901707","LUAD","IV","vesicle lumen"
"vesicle membrane53","0.698461538461538","7.24116156340937e-05","LUAD","IV","vesicle membrane"
"vesicle organization53","0.554188034188034","0.00330706939818848","LUAD","IV","vesicle organization"
"vesicle targeting53","0.156239316239316","0.445949406159769","LUAD","IV","vesicle targeting"
"vesicle docking53","0.465299145299145","0.0166064113100202","LUAD","IV","vesicle docking"
"clathrin coated vesicle53","0.554188034188034","0.00330706939818848","LUAD","IV","clathrin coated vesicle"
"copi coated vesicle53","0.132991452991453","0.517203761343298","LUAD","IV","copi coated vesicle"
"vesicle tethering53","0.356581196581197","0.0737600435132291","LUAD","IV","vesicle tethering"
"intercellular transport53","0.465299145299145","0.0166064113100202","LUAD","IV","intercellular transport"
"regulation of vesicle fusion53","0.265641025641026","0.189653382296984","LUAD","IV","regulation of vesicle fusion"
"coated vesicle63","0.170896159317212","0.14266077414792","LUAD","IIB","coated vesicle"
"endocytic vesicle63","0.406088193456615","0.0003005280114039","LUAD","IIB","endocytic vesicle"
"phagocytic vesicle63","0.464665718349929","2.67258302222295e-05","LUAD","IIB","phagocytic vesicle"
"secretory vesicle63","0.452773826458037","4.52971851756523e-05","LUAD","IIB","secretory vesicle"
"vesicle cytoskeletal trafficking63","-0.0336842105263158","0.774192238169883","LUAD","IIB","vesicle cytoskeletal trafficking"
"exocytosis63","0.358150782361309","0.00160529678506238","LUAD","IIB","exocytosis"
"endocytosis63","0.35823613086771","0.00160086789151714","LUAD","IIB","endocytosis"
"secretion63","0.312660028449502","0.00631292685722862","LUAD","IIB","secretion"
"intracellular transport63","-0.0112091038406828","0.923960408221529","LUAD","IIB","intracellular transport"
"intracellular protein transport63","0.027624466571835","0.814005699036656","LUAD","IIB","intracellular protein transport"
"transport along microtubule63","-0.0363300142247511","0.756983146015152","LUAD","IIB","transport along microtubule"
"vesicle lumen63","0.429388335704125","0.000120966127583166","LUAD","IIB","vesicle lumen"
"vesicle membrane63","0.385889046941679","0.00062799677960701","LUAD","IIB","vesicle membrane"
"vesicle organization63","0.186913229018492","0.108336729674895","LUAD","IIB","vesicle organization"
"vesicle targeting63","-0.157667140825036","0.176704844519182","LUAD","IIB","vesicle targeting"
"vesicle docking63","0.180341394025605","0.121551328748657","LUAD","IIB","vesicle docking"
"clathrin coated vesicle63","0.217098150782361","0.0613551082547978","LUAD","IIB","clathrin coated vesicle"
"copi coated vesicle63","-0.00733997155049787","0.950165305737253","LUAD","IIB","copi coated vesicle"
"vesicle tethering63","-0.0235277382645804","0.841197774792021","LUAD","IIB","vesicle tethering"
"intercellular transport63","0.415988620199147","0.000205804970000445","LUAD","IIB","intercellular transport"
"regulation of vesicle fusion63","0.144637268847795","0.215686701603537","LUAD","IIB","regulation of vesicle fusion"
"coated vesicle73","0.254545454545455","0.450036576888829","LUAD","IIIB","coated vesicle"
"endocytic vesicle73","0.627272727272727","0.0388452536203534","LUAD","IIIB","endocytic vesicle"
"phagocytic vesicle73","0.654545454545455","0.0288645989570018","LUAD","IIIB","phagocytic vesicle"
"secretory vesicle73","0.5","0.117306803014238","LUAD","IIIB","secretory vesicle"
"vesicle cytoskeletal trafficking73","0.0727272727272727","0.831716405381337","LUAD","IIIB","vesicle cytoskeletal trafficking"
"exocytosis73","0.381818181818182","0.24655957577897","LUAD","IIIB","exocytosis"
"endocytosis73","0.545454545454545","0.0826509573441752","LUAD","IIIB","endocytosis"
"secretion73","0.4","0.22286835013352","LUAD","IIIB","secretion"
"intracellular transport73","0.236363636363636","0.484091162225397","LUAD","IIIB","intracellular transport"
"intracellular protein transport73","0.236363636363636","0.484091162225397","LUAD","IIIB","intracellular protein transport"
"transport along microtubule73","0.00909090909090909","0.978836500144194","LUAD","IIIB","transport along microtubule"
"vesicle lumen73","0.472727272727273","0.14199852020632","LUAD","IIIB","vesicle lumen"
"vesicle membrane73","0.363636363636364","0.271637540993823","LUAD","IIIB","vesicle membrane"
"vesicle organization73","0.281818181818182","0.401144897960478","LUAD","IIIB","vesicle organization"
"vesicle targeting73","-0.109090909090909","0.749508596234148","LUAD","IIIB","vesicle targeting"
"vesicle docking73","0.472727272727273","0.14199852020632","LUAD","IIIB","vesicle docking"
"clathrin coated vesicle73","0.427272727272727","0.189943724965427","LUAD","IIIB","clathrin coated vesicle"
"copi coated vesicle73","-0.0181818181818182","0.957685241021619","LUAD","IIIB","copi coated vesicle"
"vesicle tethering73","0.0272727272727273","0.936558448192612","LUAD","IIIB","vesicle tethering"
"intercellular transport73","0.545454545454545","0.0826509573441752","LUAD","IIIB","intercellular transport"
"regulation of vesicle fusion73","0.654545454545455","0.0288645989570018","LUAD","IIIB","regulation of vesicle fusion"
"coated vesicle18","0.514242895361401","0","KIRC","I","coated vesicle"
"endocytic vesicle18","0.445750310230774","9.76996261670138e-15","KIRC","I","endocytic vesicle"
"phagocytic vesicle18","0.459993795384521","1.11022302462516e-15","KIRC","I","phagocytic vesicle"
"secretory vesicle18","0.452294056308655","3.5527136788005e-15","KIRC","I","secretory vesicle"
"vesicle cytoskeletal trafficking18","0.444947602847989","1.11022302462516e-14","KIRC","I","vesicle cytoskeletal trafficking"
"exocytosis18","0.473161499299327","0","KIRC","I","exocytosis"
"endocytosis18","0.411367775633555","1.4237500067793e-12","KIRC","I","endocytosis"
"secretion18","0.444392018458141","1.19904086659517e-14","KIRC","I","secretion"
"intracellular transport18","0.457960781168166","1.33226762955019e-15","KIRC","I","intracellular transport"
"intracellular protein transport18","0.481171469149142","0","KIRC","I","intracellular protein transport"
"transport along microtubule18","0.390415402545072","2.25570673251241e-11","KIRC","I","transport along microtubule"
"vesicle lumen18","0.38933254379798","2.58839616407158e-11","KIRC","I","vesicle lumen"
"vesicle membrane18","0.506238233642699","0","KIRC","I","vesicle membrane"
"vesicle organization18","0.483668060149383","0","KIRC","I","vesicle organization"
"vesicle targeting18","0.366303511859545","4.29585700345569e-10","KIRC","I","vesicle targeting"
"vesicle docking18","0.362445680124942","6.73272992912644e-10","KIRC","I","vesicle docking"
"clathrin coated vesicle18","0.480261419559402","0","KIRC","I","clathrin coated vesicle"
"copi coated vesicle18","0.419678539579785","4.50750547997814e-13","KIRC","I","copi coated vesicle"
"vesicle tethering18","0.287977318945546","1.30338725812251e-06","KIRC","I","vesicle tethering"
"intercellular transport18","0.221100175050368","0.00023133420794208","KIRC","I","intercellular transport"
"regulation of vesicle fusion18","0.227673410745545","0.00014795716794902","KIRC","I","regulation of vesicle fusion"
"coated vesicle19","0.616121293418117","3.33066907387547e-14","KIRC","III","coated vesicle"
"endocytic vesicle19","0.626355909249204","9.32587340685131e-15","KIRC","III","endocytic vesicle"
"phagocytic vesicle19","0.625511085888225","1.02140518265514e-14","KIRC","III","phagocytic vesicle"
"secretory vesicle19","0.608376004436935","8.39328606616618e-14","KIRC","III","secretory vesicle"
"vesicle cytoskeletal trafficking19","0.531123034657105","2.6185409396362e-10","KIRC","III","vesicle cytoskeletal trafficking"
"exocytosis19","0.568862777469657","6.67843558233017e-12","KIRC","III","exocytosis"
"endocytosis19","0.590209077659259","6.76347866601645e-13","KIRC","III","endocytosis"
"secretion19","0.581618965317099","1.73416836446449e-12","KIRC","III","secretion"
"intracellular transport19","0.539919516064542","1.15930376409779e-10","KIRC","III","intracellular transport"
"intracellular protein transport19","0.559414943699939","1.74766867644394e-11","KIRC","III","intracellular protein transport"
"transport along microtubule19","0.520559518128233","6.7577232698568e-10","KIRC","III","transport along microtubule"
"vesicle lumen19","0.567018353948743","8.07753863796279e-12","KIRC","III","vesicle lumen"
"vesicle membrane19","0.619610220427958","2.17603712826531e-14","KIRC","III","vesicle membrane"
"vesicle organization19","0.610330061523778","6.66133814775094e-14","KIRC","III","vesicle organization"
"vesicle targeting19","0.485915311294837","1.217761669281e-08","KIRC","III","vesicle targeting"
"vesicle docking19","0.521681649920677","6.11970474295731e-10","KIRC","III","vesicle docking"
"clathrin coated vesicle19","0.589654460796327","7.19424519957101e-13","KIRC","III","clathrin coated vesicle"
"copi coated vesicle19","0.537868723478351","1.4047829566266e-10","KIRC","III","copi coated vesicle"
"vesicle tethering19","0.487037443087281","1.11440185968092e-08","KIRC","III","vesicle tethering"
"intercellular transport19","0.404057731746011","3.57531265082756e-06","KIRC","III","intercellular transport"
"regulation of vesicle fusion19","0.325734222440056","0.000236480028591446","KIRC","III","regulation of vesicle fusion"
"coated vesicle24","0.435768556399766","0.000561136472068569","KIRC","II","coated vesicle"
"endocytic vesicle24","0.374108708357686","0.00351270283718419","KIRC","II","endocytic vesicle"
"phagocytic vesicle24","0.39135008766803","0.00217704349848202","KIRC","II","phagocytic vesicle"
"secretory vesicle24","0.386966686148451","0.00246457478623308","KIRC","II","secretory vesicle"
"vesicle cytoskeletal trafficking24","0.3177089421391","0.0142044582770917","KIRC","II","vesicle cytoskeletal trafficking"
"exocytosis24","0.345178258328463","0.00741797929747978","KIRC","II","exocytosis"
"endocytosis24","0.337112799532437","0.00902988064948218","KIRC","II","endocytosis"
"secretion24","0.330742255990649","0.0105102955188494","KIRC","II","secretion"
"intracellular transport24","0.30905902980713","0.0172298638100767","KIRC","II","intracellular transport"
"intracellular protein transport24","0.356224430157802","0.00562043331638029","KIRC","II","intracellular protein transport"
"transport along microtubule24","0.30093512565751","0.0205561022404366","KIRC","II","transport along microtubule"
"vesicle lumen24","0.3416715371128","0.0080850134209256","KIRC","II","vesicle lumen"
"vesicle membrane24","0.401928696668615","0.00160258341321495","KIRC","II","vesicle membrane"
"vesicle organization24","0.397545295149036","0.00182169289303058","KIRC","II","vesicle organization"
"vesicle targeting24","0.334541203974284","0.00960410608915652","KIRC","II","vesicle targeting"
"vesicle docking24","0.377849210987727","0.00317320950587652","KIRC","II","vesicle docking"
"clathrin coated vesicle24","0.391291642314436","0.00218067139520484","KIRC","II","clathrin coated vesicle"
"copi coated vesicle24","0.390531852717709","0.00222832726412481","KIRC","II","copi coated vesicle"
"vesicle tethering24","0.372939801285798","0.00362519729252853","KIRC","II","vesicle tethering"
"intercellular transport24","0.297253068381064","0.0222344604500884","KIRC","II","intercellular transport"
"regulation of vesicle fusion24","0.016364699006429","0.902092573469229","KIRC","II","regulation of vesicle fusion"
"coated vesicle34","0.627996305780614","2.08845385429868e-10","KIRC","IV","coated vesicle"
"endocytic vesicle34","0.605327232274044","1.34483113534145e-09","KIRC","IV","endocytic vesicle"
"phagocytic vesicle34","0.678602913395743","1.7963408538435e-12","KIRC","IV","phagocytic vesicle"
