"","correlation","pvalue","tumor","stage","process"
"exocytosis3","0.12736013986014","0.312011031830375","BRCA","IIIC","exocytosis"
"endocytosis3","0.369536713286713","0.00244950732157578","BRCA","IIIC","endocytosis"
"secretion3","0.17381993006993","0.166126945037723","BRCA","IIIC","secretion"
"intracellular transport3","-0.187237762237762","0.13530319803486","BRCA","IIIC","intracellular transport"
"intracellular protein transport3","-0.255812937062937","0.0397082107395321","BRCA","IIIC","intracellular protein transport"
"transport along microtubule3","0.0537587412587413","0.670607114957701","BRCA","IIIC","transport along microtubule"
"vesicle lumen3","-0.0356206293706294","0.778173695776884","BRCA","IIIC","vesicle lumen"
"vesicle membrane3","0.0890297202797203","0.480651170228471","BRCA","IIIC","vesicle membrane"
"vesicle organization3","0.0474213286713287","0.707574327248438","BRCA","IIIC","vesicle organization"
"vesicle targeting3","-0.297246503496504","0.0161900641758708","BRCA","IIIC","vesicle targeting"
"vesicle docking3","0.15743006993007","0.210409085238633","BRCA","IIIC","vesicle docking"
"clathrin coated vesicle3","0.00292832167832168","0.981529955583377","BRCA","IIIC","clathrin coated vesicle"
"copi coated vesicle3","-0.399125874125874","0.00098970118115993","BRCA","IIIC","copi coated vesicle"
"vesicle tethering3","0.022770979020979","0.857115945543313","BRCA","IIIC","vesicle tethering"
"intercellular transport3","-0.104589160839161","0.40702466905081","BRCA","IIIC","intercellular transport"
"regulation of vesicle fusion3","0.102185314685315","0.417950235583948","BRCA","IIIC","regulation of vesicle fusion"
"coated vesicle4","-0.0599003992262419","0.574916448528433","BRCA","I","coated vesicle"
"endocytic vesicle4","0.267004156891797","0.0109597047272536","BRCA","I","endocytic vesicle"
"phagocytic vesicle4","0.271975964110796","0.00950867295472202","BRCA","I","phagocytic vesicle"
"secretory vesicle4","0.252747252747253","0.0162427667806277","BRCA","I","secretory vesicle"
"vesicle cytoskeletal trafficking4","-0.0761987076593818","0.475339504710031","BRCA","I","vesicle cytoskeletal trafficking"
"exocytosis4","0.212709387990287","0.0441327260768192","BRCA","I","exocytosis"
"endocytosis4","0.291138823723093","0.00537003423096372","BRCA","I","endocytosis"
"secretion4","0.153936700004116","0.147447151381847","BRCA","I","secretion"
"intracellular transport4","-0.256006914433881","0.0148720692246367","BRCA","I","intracellular transport"
"intracellular protein transport4","-0.255694118615467","0.0149991058926782","BRCA","I","intracellular protein transport"
"transport along microtubule4","-0.259842778943903","0.0133883750741517","BRCA","I","transport along microtubule"
"vesicle lumen4","0.233551467259332","0.0267307720122845","BRCA","I","vesicle lumen"
"vesicle membrane4","0.190616125447586","0.0719231135751874","BRCA","I","vesicle membrane"
"vesicle organization4","-0.0786352224554472","0.461296796285056","BRCA","I","vesicle organization"
"vesicle targeting4","-0.397258920854426","0.000105812814931383","BRCA","I","vesicle targeting"
"vesicle docking4","0.0275836523027534","0.796350805016078","BRCA","I","vesicle docking"
"clathrin coated vesicle4","0.0574144956167428","0.59091425480157","BRCA","I","clathrin coated vesicle"
"copi coated vesicle4","-0.231987488167263","0.0277947360464552","BRCA","I","copi coated vesicle"
"vesicle tethering4","-0.157245750504177","0.138836821303565","BRCA","I","vesicle tethering"
"intercellular transport4","0.152356257974235","0.151698430023798","BRCA","I","intercellular transport"
"regulation of vesicle fusion4","0.0415277606288842","0.69755164826698","BRCA","I","regulation of vesicle fusion"
"coated vesicle5","-0.0175064407622547","0.779172005649299","BRCA","IIB","coated vesicle"
"endocytic vesicle5","0.372885254280603","5.75754555143249e-10","BRCA","IIB","endocytic vesicle"
"phagocytic vesicle5","0.311577485996091","3.08659888759166e-07","BRCA","IIB","phagocytic vesicle"
"secretory vesicle5","0.332102278613907","4.37495464300497e-08","BRCA","IIB","secretory vesicle"
"vesicle cytoskeletal trafficking5","-0.0642722456675945","0.302809859229054","BRCA","IIB","vesicle cytoskeletal trafficking"
"exocytosis5","0.230286432612014","0.000185081704596746","BRCA","IIB","exocytosis"
"endocytosis5","0.358627858627859","2.80715228839767e-09","BRCA","IIB","endocytosis"
"secretion5","0.282151663547012","3.97083056302705e-06","BRCA","IIB","secretion"
"intracellular transport5","-0.172547502780061","0.00536315491730921","BRCA","IIB","intracellular transport"
"intracellular protein transport5","-0.151933610073145","0.0143835789138549","BRCA","IIB","intracellular protein transport"
"transport along microtubule5","-0.226310772822401","0.000240407136425924","BRCA","IIB","transport along microtubule"
"vesicle lumen5","0.288860416767393","2.27364400728902e-06","BRCA","IIB","vesicle lumen"
"vesicle membrane5","0.250659962287869","4.50747584141986e-05","BRCA","IIB","vesicle membrane"
"vesicle organization5","-0.0187434815341792","0.764013093395765","BRCA","IIB","vesicle organization"
"vesicle targeting5","-0.358932456606875","2.71592215383976e-09","BRCA","IIB","vesicle targeting"
"vesicle docking5","0.0606336466801583","0.331060092782406","BRCA","IIB","vesicle docking"
"clathrin coated vesicle5","0.122160366346413","0.0495490277449429","BRCA","IIB","clathrin coated vesicle"
"copi coated vesicle5","-0.231167073027538","0.000174556701118878","BRCA","IIB","copi coated vesicle"
"vesicle tethering5","-0.100594691292366","0.106270159253584","BRCA","IIB","vesicle tethering"
"intercellular transport5","0.280735731898523","4.458558253706e-06","BRCA","IIB","intercellular transport"
"regulation of vesicle fusion5","0.12636326589815","0.0421597581148676","BRCA","IIB","regulation of vesicle fusion"
"coated vesicle6","-0.00838293825508084","0.93821315982742","BRCA","IA","coated vesicle"
"endocytic vesicle6","0.365890599133528","0.000455455485799838","BRCA","IA","endocytic vesicle"
"phagocytic vesicle6","0.340759395583107","0.00115929005642323","BRCA","IA","phagocytic vesicle"
"secretory vesicle6","0.363055193547251","0.000508040563633738","BRCA","IA","secretory vesicle"
"vesicle cytoskeletal trafficking6","-0.0228241344087915","0.832828400389572","BRCA","IA","vesicle cytoskeletal trafficking"
"exocytosis6","0.251364869148674","0.0181589739366053","BRCA","IA","exocytosis"
"endocytosis6","0.359867563664542","0.000573758015140147","BRCA","IA","endocytosis"
"secretion6","0.270895706385826","0.0106855939397041","BRCA","IA","secretion"
"intracellular transport6","-0.168521714627875","0.116527328889054","BRCA","IA","intracellular transport"
"intracellular protein transport6","-0.177309710823853","0.0984015136556686","BRCA","IA","intracellular protein transport"
"transport along microtubule6","-0.151368391391638","0.159194889963115","BRCA","IA","transport along microtubule"
"vesicle lumen6","0.365186150540664","0.00046803244236715","BRCA","IA","vesicle lumen"
"vesicle membrane6","0.202898805959635","0.0579711589718426","BRCA","IA","vesicle membrane"
"vesicle organization6","-0.0130499101828044","0.903949452965998","BRCA","IA","vesicle organization"
"vesicle targeting6","-0.358617167412208","0.000601594473264022","BRCA","IA","vesicle targeting"
"vesicle docking6","0.0425839174386249","0.693625653674084","BRCA","IA","vesicle docking"
"clathrin coated vesicle6","0.141347610158149","0.188979095515787","BRCA","IA","clathrin coated vesicle"
"copi coated vesicle6","-0.252949878482618","0.0174182083597652","BRCA","IA","copi coated vesicle"
"vesicle tethering6","-0.119509703779367","0.267408222244876","BRCA","IA","vesicle tethering"
"intercellular transport6","0.409742524039308","7.36119837889682e-05","BRCA","IA","intercellular transport"
"regulation of vesicle fusion6","0.129741819590715","0.228286781617345","BRCA","IA","regulation of vesicle fusion"
"coated vesicle7","-0.00451127819548872","0.984940048340402","BRCA","IV","coated vesicle"
"endocytic vesicle7","0.469172932330827","0.0368965591814292","BRCA","IV","endocytic vesicle"
"phagocytic vesicle7","0.359398496240601","0.119632506329039","BRCA","IV","phagocytic vesicle"
"secretory vesicle7","0.311278195488722","0.181575770370373","BRCA","IV","secretory vesicle"
"vesicle cytoskeletal trafficking7","0.0977443609022556","0.681832438507082","BRCA","IV","vesicle cytoskeletal trafficking"
"exocytosis7","0.345864661654135","0.135252343133516","BRCA","IV","exocytosis"
"endocytosis7","0.294736842105263","0.207135420852154","BRCA","IV","endocytosis"
"secretion7","0.390977443609023","0.088280102106614","BRCA","IV","secretion"
"intracellular transport7","-0.142857142857143","0.547950150833609","BRCA","IV","intracellular transport"
"intracellular protein transport7","-0.132330827067669","0.578107459362294","BRCA","IV","intracellular protein transport"
"transport along microtubule7","-0.0466165413533835","0.845269805289437","BRCA","IV","transport along microtubule"
"vesicle lumen7","0.314285714285714","0.177169667651757","BRCA","IV","vesicle lumen"
"vesicle membrane7","0.270676691729323","0.248390569136697","BRCA","IV","vesicle membrane"
"vesicle organization7","-0.0135338345864662","0.954839753357139","BRCA","IV","vesicle organization"
"vesicle targeting7","-0.275187969924812","0.240283028081138","BRCA","IV","vesicle targeting"
"vesicle docking7","0.369924812030075","0.108409561553775","BRCA","IV","vesicle docking"
"clathrin coated vesicle7","0.124812030075188","0.600074418414498","BRCA","IV","clathrin coated vesicle"
"copi coated vesicle7","-0.0766917293233083","0.74793344754194","BRCA","IV","copi coated vesicle"
"vesicle tethering7","-0.0571428571428571","0.810880046156832","BRCA","IV","vesicle tethering"
"intercellular transport7","0.308270676691729","0.186055560778102","BRCA","IV","intercellular transport"
"regulation of vesicle fusion7","-0.0526315789473684","0.825581450455932","BRCA","IV","regulation of vesicle fusion"
"coated vesicle8","-0.258241758241758","0.394284017397361","BRCA","X","coated vesicle"
"endocytic vesicle8","-0.0164835164835165","0.957376175090185","BRCA","X","endocytic vesicle"
"phagocytic vesicle8","-0.043956043956044","0.886619022789078","BRCA","X","phagocytic vesicle"
"secretory vesicle8","0.21978021978022","0.470614851472142","BRCA","X","secretory vesicle"
"vesicle cytoskeletal trafficking8","-0.148351648351648","0.628609417889416","BRCA","X","vesicle cytoskeletal trafficking"
"exocytosis8","0.164835164835165","0.590478988652005","BRCA","X","exocytosis"
"endocytosis8","0.120879120879121","0.694047327996686","BRCA","X","endocytosis"
"secretion8","0.21978021978022","0.470614851472142","BRCA","X","secretion"
"intracellular transport8","-0.318681318681319","0.28858316144472","BRCA","X","intracellular transport"
"intracellular protein transport8","-0.285714285714286","0.34400021825867","BRCA","X","intracellular protein transport"
"transport along microtubule8","-0.269230769230769","0.373733042281892","BRCA","X","transport along microtubule"
"vesicle lumen8","0.263736263736264","0.383936516650674","BRCA","X","vesicle lumen"
"vesicle membrane8","-0.00549450549450549","0.985786910714062","BRCA","X","vesicle membrane"
"vesicle organization8","-0.32967032967033","0.271335054505236","BRCA","X","vesicle organization"
"vesicle targeting8","-0.532967032967033","0.060736503065618","BRCA","X","vesicle targeting"
"vesicle docking8","0.225274725274725","0.459305142725006","BRCA","X","vesicle docking"
"clathrin coated vesicle8","-0.0714285714285714","0.816628040676086","BRCA","X","clathrin coated vesicle"
"copi coated vesicle8","-0.291208791208791","0.334385856197529","BRCA","X","copi coated vesicle"
"vesicle tethering8","-0.357142857142857","0.230929862302034","BRCA","X","vesicle tethering"
"intercellular transport8","0.247252747252747","0.415405119725538","BRCA","X","intercellular transport"
"regulation of vesicle fusion8","0.230769230769231","0.448127382315366","BRCA","X","regulation of vesicle fusion"
"coated vesicle9","-0.828571428571429","0.0415626822157433","BRCA","IB","coated vesicle"
"endocytic vesicle9","0.0857142857142857","0.871743440233236","BRCA","IB","endocytic vesicle"
